region_set	control_set	module_id	track_id	mark	stage	n_regions	mean_signal	max_signal	signal_density	overlap_fraction	peak_count_mean
matched_random	matched_non_age_0003	M05	H3K27me3_8cell	H3K27me3	8cell	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M05	H3K27me3_blastocyst	H3K27me3	blastocyst	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M05	H3K27me3_morula	H3K27me3	morula	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M05	H3K4me3_8cell	H3K4me3	8cell	6	0.027149321266968326	0.16289592760180996	0.027149321266968326	0.16666666666666666	0.16666666666666666
matched_random	matched_non_age_0003	M05	H3K4me3_blastocyst	H3K4me3	blastocyst	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M10	H3K27ac_8cell	H3K27ac	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M10	H3K27ac_blastocyst	H3K27ac	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M10	H3K27me3_8cell	H3K27me3	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M10	H3K27me3_blastocyst	H3K27me3	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M10	H3K27me3_morula	H3K27me3	morula	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M10	H3K4me3_8cell	H3K4me3	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M10	H3K4me3_blastocyst	H3K4me3	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M12	H3K27ac_8cell	H3K27ac	8cell	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M12	H3K27ac_blastocyst	H3K27ac	blastocyst	4	0.25	1.0	0.25	0.25	0.25
matched_random	matched_non_age_0003	M12	H3K27me3_8cell	H3K27me3	8cell	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M12	H3K27me3_blastocyst	H3K27me3	blastocyst	4	0.25	1.0	0.25	0.25	0.25
matched_random	matched_non_age_0003	M12	H3K27me3_morula	H3K27me3	morula	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0003	M12	H3K4me3_8cell	H3K4me3	8cell	4	0.0	0.0	0.0	0.0	0.0
