from_stage	to_stage	from_sample_id	to_sample_id	from_tau	to_tau	delta_tau	sample_coupling_weight	n_particle_couplings
MII oocyte	zygote/PN	GSM2481557	GSM2481559	0.0	0.16666666666666666	0.16666666666666666	0.0011440717498007755	9
MII oocyte	zygote/PN	GSM2481557	GSM2481560	0.0	0.16666666666666666	0.16666666666666666	0.00023712697268703757	9
MII oocyte	zygote/PN	GSM2481557	GSM2481561	0.0	0.16666666666666666	0.16666666666666666	0.0012158155449884154	9
MII oocyte	zygote/PN	GSM2481557	GSM2481562	0.0	0.16666666666666666	0.16666666666666666	0.0012878200298910068	9
MII oocyte	zygote/PN	GSM2481557	GSM2481563	0.0	0.16666666666666666	0.16666666666666666	0.00024201437949448025	9
MII oocyte	zygote/PN	GSM2481557	GSM2481564	0.0	0.16666666666666666	0.16666666666666666	0.0014308742430848248	9
MII oocyte	zygote/PN	GSM2481557	GSM2481565	0.0	0.16666666666666666	0.16666666666666666	3.146703509025484e-05	9
MII oocyte	zygote/PN	GSM2481557	GSM2481566	0.0	0.16666666666666666	0.16666666666666666	0.0013886070507345039	9
MII oocyte	zygote/PN	GSM2481557	GSM2481567	0.0	0.16666666666666666	0.16666666666666666	0.001320133451237464	9
MII oocyte	zygote/PN	GSM2481557	GSM2481571	0.0	0.16666666666666666	0.16666666666666666	0.000472038887620861	9
MII oocyte	zygote/PN	GSM2481557	GSM2481572	0.0	0.16666666666666666	0.16666666666666666	0.0013306146951456992	9
MII oocyte	zygote/PN	GSM2481557	GSM2481573	0.0	0.16666666666666666	0.16666666666666666	0.0013088254008401608	9
MII oocyte	zygote/PN	GSM2481557	GSM2481574	0.0	0.16666666666666666	0.16666666666666666	0.0014189951362639235	9
MII oocyte	zygote/PN	GSM2481557	GSM2481575	0.0	0.16666666666666666	0.16666666666666666	0.001385311585682868	9
MII oocyte	zygote/PN	GSM2481557	GSM2481576	0.0	0.16666666666666666	0.16666666666666666	0.0005797171409478957	9
MII oocyte	zygote/PN	GSM2481557	GSM2481577	0.0	0.16666666666666666	0.16666666666666666	0.00017435507248920274	9
MII oocyte	zygote/PN	GSM2481557	GSM2481578	0.0	0.16666666666666666	0.16666666666666666	0.0013701200155219768	9
MII oocyte	zygote/PN	GSM2481557	GSM2986327	0.0	0.16666666666666666	0.16666666666666666	0.0012150077074278088	9
MII oocyte	zygote/PN	GSM2481557	GSM2986328	0.0	0.16666666666666666	0.16666666666666666	7.360645726618562e-05	9
