cluster_name	selection_frequency_top10	selection_frequency_top25	selection_frequency_top50	selection_frequency_top100	mean_rank	rank_std	residual_contribution_mean	residual_contribution_q025	residual_contribution_q975	module_id	basin_residual_rank	abs_latent_residual_delta_beta
cluster_6498	0.65	1.0	1.0	1.0	9.742	2.318498652145388	0.12332341590219331	0.09797802242523193	0.14315475028737112	M12	10	0.12336847335978415
cluster_6518	0.0	0.0	0.004	1.0	63.718	8.292555456552542	0.024583464927323415	0.013887231272909063	0.037817395390636895	M04	59	0.024956902722702987
cluster_6532	0.0	0.0	1.0	1.0	40.908	2.439577012516679	0.04323506366055733	0.036164247573310826	0.048827619576597404	M09	41	0.043380022403273
cluster_6604	0.0	0.0	0.844	1.0	43.606	6.833356715407156	0.04078874998974371	0.029007213834378143	0.05020088531240477	M03	44	0.04068701600287178
cluster_6651	0.0	0.938	1.0	1.0	20.974	2.9246066402167616	-0.07695605602069992	-0.09341836052654406	-0.060884406727049485	M01	19	0.07784538965855078
cluster_6655	0.0	1.0	1.0	1.0	14.91	1.2123943252918976	-0.09952327557472634	-0.1180356622217723	-0.08319620452348526	M01	14	0.10061235696372343
cluster_6871	0.0	0.0	0.0	0.0	124.05	3.5501408422764382	0.006378688437306114	0.004089766214720488	0.009483923099719535	M02	128	0.006441220815951875
cluster_6892	1.0	1.0	1.0	1.0	2.87	0.8031811750782007	-0.179419079328927	-0.22613956567571605	-0.12841620872162834	M05	3	0.17978871098235621
cluster_6960	0.274	1.0	1.0	1.0	11.212	2.423851480598598	-0.11383823089759283	-0.1372561761659486	-0.0938146046968563	M01	12	0.11508728696770937
cluster_6975	0.0	0.0	0.998	1.0	36.766	3.1373944603763393	-0.049648949141187955	-0.0569009207022586	-0.041317361150880756	M03	36	0.049965646275189825
cluster_7000	0.0	0.0	0.0	0.0	139.052	2.998882458517538	0.003877962654679193	0.002732672385474874	0.005596947812446368	M02	142	0.003897682555750469
cluster_7042	0.858	1.0	1.0	1.0	8.692	1.794752350604395	-0.1294440521098129	-0.15301768806143617	-0.1014756264691271	M05	8	0.12979276926158487
cluster_7052	0.0	0.0	0.104	0.582	93.236	34.24628890843503	-0.011172330490126494	-0.040736346906536325	0.021396393366644728	M08	104	0.010730532250050504
cluster_7072	0.0	0.676	1.0	1.0	23.79	4.441384919144043	-0.0720595467278076	-0.09207546662224858	-0.053079845446921445	M01	24	0.07313538531657726
cluster_7095	0.0	0.0	0.0	0.456	106.318	21.76954009619864	0.011150192875119428	-0.0007619842282534522	0.02630282767758571	M06	101	0.011326551648274025
cluster_7341	0.0	0.0	0.0	0.0	119.066	4.69527890545384	0.007270495975388693	0.005024834052124784	0.010101953161517815	M03	122	0.007242376902662567
cluster_7425	0.0	0.0	0.198	0.918	67.968	22.225187873221678	0.0244994189634693	0.005157129958459126	0.04207131102809951	M01	61	0.023893307994167334
cluster_7504	0.0	0.0	0.0	0.002	134.084	15.035988294754606	0.004432505150917808	-0.003165262237860114	0.014384152356724028	M00	138	0.004487800132003807
cluster_7612	0.0	0.0	0.0	0.182	122.898	24.05343210437967	-0.0026978020991091263	-0.017527830516086477	0.013861000192137584	M04	146	0.002472216708342139
cluster_7683	0.0	0.0	0.0	0.528	101.762	25.227155130929848	-0.011636679904489154	-0.0217682273374071	-0.0009239061743998286	M06	99	0.011594583301013853
