cluster_name	k27ac_8cell_ov	k27ac_8cell_score	k27ac_blast_ov	k27ac_blast_score	k27me3_8cell_ov	k27me3_8cell_score	k4me3_8cell_ov	k4me3_8cell_score	k27me3_blast_ov	k27me3_blast_score	k4me3_blast_ov	k4me3_blast_score	acc_morula_mean	acc_8-cell_mean	acc_2-cell_mean	acc_4-cell_mean	basin_residual_rank	observed_minus_strict_pred_delta_beta	latent_residual_delta_beta	module_id	curvature	is_inverted_u	is_u_shape	meth_2_cell	meth_4_cell	meth_8_cell	meth_morula	meth_blastocyst
cluster_6143	0		0		0		0		0		0		-0.664971657	1.037215059	-0.957681439	-0.5615354579999999	49	-0.3783579650199369	0.03248292470823936	M08	1.003703703703704	False	True	0.05	0.0	0.8037037037037039	0.0	0.2
cluster_5240	0		0		0		0		0		0		0.3083585112941176	0.25439053982352944	-0.21838729752941174	0.10106988370588237	50	-0.057839199101874864	0.030657010714861713	M06	0.0644444444444444	False	False	0.075	0.04	0.06444444444444444	0.0	0.0
cluster_4364	1		0		0		0		1		0		-0.4038656483333333	-0.27543466866666666	-0.24015084666666675	-0.7373497749999999	51	-0.17050264874867835	0.028761783519538973	M04	0.2969084412522482	False	True	0.08905753968253967	0.106452581689451	0.2263080271735733	0.0	0.07060041407867494
cluster_950	0		0		0		0		0		0		-0.10241533300000001	0.0960485905	0.233261462	0.21583882125	52	-0.5422194754125403	-0.028665678768162717	M03	0.8068334135000799	False	True	0.4655860805860806	0.7743156633722673	0.7858377425044089	0.11904761904761905	0.2590909090909091
cluster_1523	1		0		0		0		0		0		0.11561099712903225	0.36128957593548383	-0.21054592432258065	-0.07335207945161291	53	0.3269253331601478	0.028657784752583106	M06	-0.7387049830245319	True	False	0.01	0.05211388199004298	0.04896790610184544	0.42857142857142855	0.06946996801647964
cluster_4907	0		0		0		0		0		0						54	-0.1481369219125609	0.028191874667370782	M08	0.18829292036188588	False	False	0.2599446386946387	0.4286666666666666	0.4320658141347797	0.23214285714285715	0.22051282051282048
cluster_3660	0		1		0		0		0		0		0.48492230299999994	0.3155706590000001	-0.8890914325	0.397281352	55	-0.13847841401744884	-0.02673350276848525	M04	0.1583862433862433	False	False	0.06245039682539681	0.12933333333333333	0.15838624338624338	0.0	0.0
cluster_5064	0		1		0		1		1		0		-0.3087862028461539	0.2501697850769231	-0.2838570815384615	0.29217902407692303	56	-0.08798507302188784	-0.026514052553844446	M07	0.10913326620412388	False	True	0.09652315822680753	0.04773497967793384	0.08095989159112083	0.0	0.0281733746130031
cluster_4532	0		0		0		0		0		0		0.10158976730769234	0.3927008373846154	-0.3933411095384615	0.04617716146153848	57	0.8219627057393586	0.02555737957017126	M13	-1.6445791245791246	True	False	0.15797619047619044	0.08508130081300813	0.05542087542087543	1.0	0.3
cluster_3762	0		1		0		0		0		0		1.187335796	0.66953017	-0.06837947800000005	-0.3614157315000001	58	0.5439085813126973	0.02547921617054224	M07	-1.2358465608465607	True	False	0.1875	0.0443982683982684	0.10224867724867727	0.7	0.061904761904761914
