cluster_name	module_id	branch	basin_residual_rank	abs_latent_residual_delta_beta	dmr_geometry_score	signed_duality	rebound_symmetry_score	curvature	public_accessibility_morula_max	public_accessibility_morula_minus_8cell	overlap_public_chromatin	joint_reset_geometry_access_score
cluster_123	M11	other	137	0.0044926365869018	0.204359294935351	1	0.204359294935351	0.0249177785149036	1.262357688	-0.957680106	True	-0.37435542560663326
cluster_6406	M02	access	69	0.0215921505818914	0.0	0	0.0	0.0222222222222222	1.302369181	-0.1746005049999999	True	-0.3750295823396626
cluster_3928	M01	closure	97	0.0120497501188807	-0.21881822317321972	-1	0.21881822317321972	-0.2086730383777055	1.909859433	0.1447137460000001	True	-0.37717704700502236
cluster_2910	M00	other	152	0.0014337262853429	0.561944629406264	1	0.561944629406264	0.2245811920842655	0.631497482	-0.88947316	True	-0.3783172147461018
cluster_1257	M02	access	109	0.0096917226454566	0.6363636364161369	1	0.6363636364161369	0.0311688311688311	0.316283313	0.6137980190000001	True	-0.38012759437405713
cluster_6651	M01	closure	19	0.0778453896585507	-0.843552175951645	-1	0.843552175951645	-0.0253638428612628	1.6336397880000002	-0.1748919879999997	True	-0.42835848103990215
cluster_6442	M02	access	93	0.0131981346851816	0.0	0	0.0	0.0	1.302369181	-0.2738668309999998	True	-0.4435986752355295
cluster_386	M00	other	145	0.0025304369417066	-0.2819865320077446	-1	0.2819865320077446	0.0338492063492062	2.02578997	0.07390125	True	-0.4568558837683557
cluster_4364	M04	other	51	0.0287617835195389	0.3119660179981772	1	0.3119660179981772	0.2969084412522482	0.278580475	-0.09001913	True	-0.4876767313222949
cluster_1688	M02	access	64	0.0232575833755816	0.0	0	0.0	0.0444444444444444			False	-0.5030135269449922
cluster_4907	M08	other	54	0.0281918746673707	-0.0581725921073106	-1	0.0581725921073106	0.1882929203618858			False	-0.5093239745577605
cluster_1758	M01	closure	43	0.0414697851795486	-0.7698289269035158	-1	0.7698289269035158	0.1096296296296297	1.962699209	0.6874580880000003	True	-0.53733174212033
cluster_2126	M02	access	72	0.020437472066274	0.0	0	0.0	0.0037037037037037			False	-0.5375689429801931
cluster_6410	M06	other	154	0.0005424621144622	0.01077828828718897	1	0.01077828828718897	0.0459663459663459	1.302369181	-0.1746005049999999	True	-0.5387327658743576
cluster_6275	M06	other	140	0.0043033178568181	0.623350923467307	1	0.623350923467307	0.0651058201058201	0.050379367	-0.986835692	True	-0.5405721498339772
cluster_3684	M02	access	47	0.0330316810641798	0.0	0	0.0	0.0822222222222222	0.626428667	-1.0828933060000003	True	-0.5522347574916021
cluster_915	M07	other	74	0.0199935342096491	0.39734926508792023	1	0.39734926508792023	-0.4201062951802715	0.127892323	-0.1101172189999999	True	-0.5543036213082526
cluster_7341	M03	other	122	0.0072423769026625	0.11538461538807648	1	0.11538461538807648	-0.3222222222222222			False	-0.5668110598888351
cluster_3660	M04	other	55	0.0267335027684852	0.0	0	0.0	0.1583862433862433	0.626428667	-1.0828933060000003	True	-0.6036833582503274
cluster_4897	M06	other	89	0.0136649263686845	0.0	0	0.0	0.0055555555555555			False	-0.6205543675005725
cluster_950	M03	other	52	0.0286656787681627	0.2100260413532584	1	0.2100260413532584	0.8068334135000799	0.127892323	-0.1101172189999999	True	-0.6268041126006871
cluster_832	M01	closure	30	0.0616692971968747	-0.17656203786349	-1	0.17656203786349	-0.1691528062580694	0.127892323	0.011164111	True	-0.6530249151773228
cluster_883	M02	access	141	0.0040790838873312	0.4023816314759236	1	0.4023816314759236	0.0435650363281942	0.127892323	0.011164111	True	-0.6804548729740786
cluster_840	M13	other	67	0.0225100814059266	0.17777777778177756	1	0.17777777778177756	0.2944444444444444	0.127892323	0.011164111	True	-0.7017646840627457
cluster_5020	M00	other	83	0.0153864516463316	0.3111671241204111	1	0.3111671241204111	0.0917884852667461	-0.126622892	-1.10030379	True	-0.7597955213369515
cluster_3123	M01	closure	107	0.0100925810247043	-0.5716947244605756	-1	0.5716947244605756	0.0813749194969902	1.6203702169999998	-0.1691175260000001	True	-0.7791033455277283
cluster_1387	M12	closure	32	0.0591703250537913	-0.9833333333403342	-1	0.9833333333403342	-0.0023809523809522	1.171450196	-0.8491103180000001	True	-0.8729381332068292
cluster_6143	M08	other	49	0.0324829247082393	0.2488479262669714	1	0.2488479262669714	1.003703703703704	-0.664971657	-1.702186716	True	-0.8833845476902705
cluster_67	M02	access	150	0.0019896580789447	0.0	0	0.0	0.0	0.369485978	-1.850551816	True	-0.9086931390709084
cluster_7425	M01	closure	61	0.0238933079941673	-0.30181120919060955	-1	0.30181120919060955	-0.2361700303729287	0.33573697	0.7948546949999999	True	-0.9742287456199451
cluster_900	M02	access	132	0.0054206039368366	0.0	0	0.0	0.0	0.127892323	0.011164111	True	-0.9774026161165791
cluster_6163	M08	other	155	0.0001808382892402	0.0461624221684925	1	0.0461624221684925	0.3777106908685855	0.050379367	-0.986835692	True	-1.0159181763820433
cluster_6114	M01	closure	33	0.0590051237513787	-0.2283871108110912	-1	0.2283871108110912	0.2283451969489899	-0.664971657	-1.702186716	True	-1.031914751046266
cluster_6171	M04	other	70	0.0212502803673657	-0.2201319016186918	-1	0.2201319016186918	0.0920415390834592	0.050379367	-0.986835692	True	-1.047576999589098
cluster_2832	M02	access	143	0.0037662201832184	0.7961487563177244	1	0.7961487563177244	0.0205274143569168	-1.6725532280000002	-2.0957987090000003	True	-1.102610269851205
cluster_5516	M07	other	85	0.0145793093893729	0.0	0	0.0	0.0592592592592592	-0.400460905	-0.366280448	True	-1.1141441710818467
cluster_5024	M02	access	136	0.0045462418781285	0.0	0	2.5e-11	0.04	-0.20949426	-1.183175158	True	-1.1196376464756874
cluster_23	M06	other	103	0.0109137307456697	-0.4182069770136558	-1	0.4182069770136558	0.008668405323794	0.369485978	-1.850551816	True	-1.155810185183489
cluster_4920	M13	other	75	0.0196173272824462	-0.21119313338272347	-1	0.21119313338272347	0.20093140129639	-0.2105707339999999	-0.628778974	True	-1.158562945205541
cluster_5447	M02	access	113	0.0086766287176006	0.0	0	0.0	0.0042328042328042	-0.399874939	-0.0233795279999999	True	-1.1621274023130452
cluster_7683	M06	other	99	0.0115945833010138	0.0	0	0.0	0.0670197268236483	-0.7102907340000001	-0.969517993	True	-1.2625843920854953
