cluster_name	x_morula	x_blast	is_mzero	is_remeth	acc_morula	module_id	k27me3_blast_ov	k27me3_8cell_ov	k4me3_blast_ov	k27ac_blast_ov	k4me3_8cell_ov
cluster_2727	0.0	0.0	1	0	0.4145043538	M02	0	0	0	1	1
cluster_2743	0.0	0.1	1	1	0.5076093964285714	M07	1	0	0	1	0
cluster_2776	0.125	0.03783783783783784	0	0	-0.007005847	M14	1	0	1	0	0
cluster_2832	0.0	0.011428571428571429	1	0	-1.6725532280000002	M02	0	0	1	1	1
cluster_2910	0.025	0.16878306878306878	0	0	0.128269105	M00	1	0	0	0	0
cluster_293	0.0	0.1	1	1	0.29688348013793103	M00	1	0	1	1	1
cluster_3123	0.4739130434782609	0.3652951607734217	0	0	0.4600214569166666	M01	1	0	0	0	0
cluster_3133	0.08333333333333333	0.05541125541125541	0	0	0.4600214569166666	M14	1	0	1	0	0
cluster_315	0.0	0.08	1	1	0.2731706742258064	M00	1	0	0	1	0
cluster_3227	0.0	0.06666666666666668	1	1	0.06883034942857144	M00	1	0	0	0	0
cluster_3275	0.0	0.1	1	1	0.10283270710526307	M05	1	0	0	0	0
cluster_3303	0.026583710407239818	0.021428571428571432	0	0	0.2326938243157895	M02	0	0	1	1	1
cluster_3336	0.0	0.02	1	0	0.18977602995000006	M02	1	0	0	0	0
cluster_3348	1.0	0.0	0	0	0.1430032778095238	M02	0	0	0	0	0
cluster_3362	0.011363636363636364	0.015384615384615384	1	0	0.1430032778095238	M02	0	0	0	1	1
cluster_3369	0.0	0.0	1	0	0.089100799173913	M02	0	0	0	0	1
cluster_3416	0.3333333333333333	0.0	0	0	0.2683839703666667	M02	1	0	0	0	1
cluster_3519	0.33035714285714285	0.4519896640826874	0	0	0.39122289480000016	M01	1	0	0	0	1
cluster_3660	0.0	0.0	1	0	0.48492230299999994	M04	0	0	0	1	0
cluster_3684	0.0	0.0	1	0	0.48492230299999994	M02	0	0	0	0	0
cluster_3762	0.7	0.061904761904761914	0	0	1.187335796	M07	0	0	0	1	0
cluster_3766	0.25	0.0	0	0	0.21895191824999996	M14	1	0	0	0	1
cluster_386	0.05	0.09714285714285714	0	0	0.22308891954838705	M00	1	0	0	1	0
cluster_3928	0.3830492424242424	0.11592442645074225	0	0	0.12186487150000005	M01	0	0	0	0	1
cluster_3967	0.0	0.04107142857142857	1	0	0.4266368355199999	M06	0	0	0	1	1
cluster_3978	0.05555555555555555	0.0	0	0	0.3446764003846154	M06	1	0	0	0	0
cluster_4026	1.0	0.28	0	0	0.18648647845161287	M03	1	0	0	1	0
cluster_4028	0.0	0.057142857142857134	1	1	0.20518743871875	M02	1	0	1	1	0
cluster_4064	0.0	0.0475	1	0	0.07319323619047613	M06	1	0	1	0	0
cluster_4084	0.09347943722943723	0.16219298245614036	0	0	0.08775926983720926	M04	1	0	0	0	0
cluster_4141	0.0	0.0	1	0	0.07451343352727277	M05	0	0	0	0	0
cluster_4364	0.0	0.07060041407867494	1	1	-0.4038656483333333	M04	1	0	0	0	0
cluster_4373	0.0	0.5	1	1	-0.4038656483333333	M01	0	0	0	0	0
cluster_4404	0.2333333333333333	0.15657894736842107	0	0	0.015064603600000013	M01	0	0	0	1	0
cluster_4420	0.0	0.02	1	0	0.3146190316666667	M06	0	0	0	0	0
cluster_4449	0.0	0.2533333333333333	1	1	0.26922970063636364	M13	1	0	0	0	0
cluster_4532	1.0	0.3	0	0	0.10158976730769234	M13	0	0	0	0	0
cluster_4538	1.0	0.325	0	0	0.10158976730769234	M01	0	0	0	0	0
cluster_4551	0.0	0.125	1	1	0.10158976730769234	M00	1	0	0	0	1
cluster_4593	0.0	0.028571428571428567	1	0	0.12032015844444445	M06	1	0	0	1	0
cluster_4605	0.45	0.36	0	0	0.10468495178947372	M01	0	0	0	0	0
cluster_483	0.0	0.0	1	0	0.19028365353658536	M11	0	0	0	0	0
