cluster_name	module_id	branch	beta_8cell	beta_morula	beta_blastocyst	entry_change	exit_change	curvature	rebound_ratio	is_u_shape	is_inverted_u	basin_residual_rank
cluster_3133	M14	other	0.0226437472965605	0.0833333333333333	0.0554112554112554	0.0606895860367728	-0.027922077922077904	-0.08861166395885071	0.4600802171347715	False	True	73
cluster_315	M00	other	0.0666666666666666	0.0	0.08	-0.0666666666666666	0.08	0.1466666666666666	1.1999999999820012	True	False	144
cluster_3227	M00	other	0.1349911816578483	0.0	0.0666666666666666	-0.1349911816578483	0.0666666666666666	0.2016578483245149	0.4938594199074987	True	False	79
cluster_3275	M05	closure	0.0666666666666666	0.0	0.1	-0.0666666666666666	0.1	0.1666666666666666	1.4999999999775016	True	False	5
cluster_3303	M02	access	0.005764608222635	0.0265837104072398	0.0214285714285714	0.020819102184604803	-0.0051551389786684	-0.025974241163273203	0.24761581612452427	False	True	116
cluster_3336	M02	access	0.0083333333333333	0.0	0.02	-0.0083333333333333	0.02	0.0283333333333333	2.3999999997120094	True	False	147
cluster_3348	M02	access	0.0256410256410256	1.0	0.0	0.9743589743589745	-1.0	-1.9743589743589745	1.026315789472631	False	True	37
cluster_3362	M02	access	0.0533509013313174	0.0113636363636363	0.0153846153846153	-0.041987264967681105	0.004020979020979001	0.0460082439886601	0.09576663362041576	True	False	124
cluster_3369	M02	access	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False	126
cluster_3416	M02	access	0.0777777777777777	0.3333333333333333	0.0	0.25555555555555565	-0.3333333333333333	-0.5888888888888889	1.3043478260818522	False	True	133
cluster_3519	M01	closure	0.5114529343630538	0.3303571428571428	0.4519896640826873	-0.18109579150591104	0.12163252122554452	0.30272831273145556	0.6716474204807942	True	False	45
cluster_3660	M04	other	0.1583862433862433	0.0	0.0	-0.1583862433862433	0.0	0.1583862433862433	0.0	False	False	55
cluster_3684	M02	access	0.0822222222222222	0.0	0.0	-0.0822222222222222	0.0	0.0822222222222222	0.0	False	False	47
cluster_3762	M07	other	0.1022486772486772	0.7	0.0619047619047619	0.5977513227513227	-0.638095238095238	-1.2358465608465607	1.0674928081416089	False	True	58
cluster_3766	M14	other	0.0486868251574133	0.25	0.0	0.2013131748425867	-0.25	-0.4513131748425867	1.2418461940915753	False	True	86
cluster_386	M00	other	0.0367063492063492	0.05	0.0971428571428571	0.013293650793650802	0.0471428571428571	0.033849206349206296	3.546268656449648	False	False	145
cluster_3928	M01	closure	0.441501020020037	0.3830492424242424	0.1159244264507422	-0.05845177759579462	-0.2671248159735002	-0.20867303837770557	4.570003290851993	False	False	97
cluster_3967	M06	other	0.0620317644785453	0.0	0.0410714285714285	-0.0620317644785453	0.0410714285714285	0.1031031930499738	0.662103180782027	True	False	88
cluster_3978	M06	other	0.0069135802469135	0.0555555555555555	0.0	0.048641975308642	-0.0555555555555555	-0.10419753086419749	1.1421319796719493	False	True	127
cluster_4026	M03	other	0.3733333333333333	1.0	0.2799999999999999	0.6266666666666667	-0.7200000000000001	-1.3466666666666667	1.1489361702109326	False	True	17
cluster_4028	M02	access	0.0206927575348628	0.0	0.0571428571428571	-0.0206927575348628	0.0571428571428571	0.0778356146777199	2.7614906830963597	True	False	134
cluster_4064	M06	other	0.0400392324083373	0.0	0.0475	-0.0400392324083373	0.0475	0.0875392324083373	1.1863364290900547	True	False	108
cluster_4084	M04	other	0.1229698055820157	0.0934794372294372	0.1621929824561403	-0.029490368352578497	0.0687135452267031	0.0982039135792816	2.3300334672952663	True	False	76
cluster_4141	M05	closure	0.4925925925925925	0.0	0.0	-0.4925925925925925	0.0	0.4925925925925925	0.0	False	False	7
cluster_4364	M04	other	0.2263080271735733	0.0	0.0706004140786749	-0.2263080271735733	0.0706004140786749	0.2969084412522482	0.3119660179981772	True	False	51
cluster_4373	M01	closure	0.4720105820105821	0.0	0.5	-0.4720105820105821	0.5	0.9720105820105821	1.0592982849433896	True	False	6
