cluster_name	x_morula	x_blast	x_blast_pred_meth_only	c_diag_blast	module_id	is_remeth_dmr	is_demeth_dmr	acc_morula	n_cpg	width
cluster_7052	0.3333333333333333	0.125	0.25583333333333336	-0.13083333333333336	M08	0	0	0.9119015956363636	4	259
cluster_7072	0.0	0.3344129554655871	0.0688	0.26561295546558705	M01	1	0	0.9119015956363636	2	330
cluster_7095	0.27884615384615385	0.0	0.22526057692307694	-0.22526057692307694	M06	0	0	0.7327324244615383	3	271
cluster_7341	1.0	0.7111111111111109	0.6299	0.0812111111111109	M03	0	0		2	74
cluster_7425	0.7247474747474747	0.3864864864864865	0.4754558080808081	-0.08896932159432164	M01	0	0	0.33573697	2	134
cluster_7504	0.0125	0.11138959931798806	0.07581375	0.03557584931798806	M00	0	0	-0.07645641433333332	2	236
cluster_7612	0.01619644723092999	0.1498267478042759	0.07788782654127482	0.07193892126300108	M04	0	0	0.03081375180000001	5	925
cluster_7683	0.0	0.0	0.0688	-0.0688	M06	0	0	-0.7102907340000001	2	214
cluster_832	0.6666666666666666	0.461244019138756	0.44286666666666663	0.01837735247208938	M01	0	0	-0.0903630925	3	345
cluster_840	0.0	0.25	0.0688	0.1812	M13	1	0	-0.0903630925	2	22
cluster_883	0.0	0.0125	0.0688	-0.0563	M02	0	0	-0.0903630925	2	205
cluster_900	0.0	0.0	0.0688	-0.0688	M02	0	0	-0.0903630925	2	20
cluster_915	0.3333333333333333	0.03268817204301076	0.25583333333333336	-0.22314516129032258	M07	0	1	-0.131902419	4	628
cluster_916	1.0	0.0	0.6299	-0.6299	M02	0	1	-0.131902419	2	72
cluster_950	0.11904761904761905	0.2590909090909091	0.13559761904761905	0.12349329004329004	M03	0	0	-0.10241533300000001	3	57
