cluster_name	module_id	basin_residual_rank	y_morula_observed	x_8cell	y_pred_meth_only	c_diag	u_morula_acc_mean	u_morula_minus_8cell	curvature	is_inverted_u	is_u_shape	signed_residual_dir
cluster_2832	M02	143.0	0.0	0.009098842928345492	0.023560906200468797	-0.023560906200468797	-1.6725532280000002	-2.0957987090000003	0.0205274143569168	False	True	1.0
cluster_315	M00	144.0	0.0	0.06666666666666668	0.01644141801288763	-0.01644141801288763	0.2731706742258064	-0.13597024235483873	0.1466666666666666	False	True	-1.0
cluster_386	M00	145.0	0.05	0.0367063492063492	0.024424314538583305	0.025575685461416697	0.22308891954838705	-0.14412104367741935	0.033849206349206296	False	False	-1.0
cluster_7612	M04	146.0	0.01619644723092999	0.07851167189028184	0.07836091000170664	-0.062164462770776654	0.03081375180000001	0.10528832809999993	0.1959455252326979	False	True	-1.0
cluster_3336	M02	147.0	0.0	0.008333333333333333	0.020510014413015063	-0.020510014413015063	0.18977602995000006	-0.09329289985	0.0283333333333333	False	True	1.0
cluster_5307	M02	148.0	0.0	0.011111111111111113	0.004964520429214914	-0.004964520429214914	0.17775505247619044	-0.07120944190476196	0.0711111111111111	False	True	-1.0
cluster_1921	M08	149.0	0.0	0.0	0.5433585330373683	-0.5433585330373683	0.17809323477777778	0.13484038894444444	0.2	False	False	-1.0
cluster_67	M02	150.0	0.0	0.0	0.008020141991945359	-0.008020141991945359	-0.0317472865	-2.247281006	0.0	False	False	1.0
cluster_652	M00	151.0	0.0	0.015555555555555557	0.02830752188496515	-0.02830752188496515	0.18568472110638296	-0.21490564055319156	0.2155555555555555	False	True	1.0
cluster_2910	M00	152.0	0.025	0.10579812330119692	0.030438503772657343	-0.005438503772657342	0.128269105	-0.678776942	0.2245811920842656	False	True	1.0
cluster_2637	M06	153.0	0.0	0.07381630714964049	0.02031966755769236	-0.02031966755769236	0.682382495	-1.021247132	0.1401264675774478	False	True	-1.0
cluster_6410	M06	154.0	0.017857142857142856	0.018347298347298348	0.011397159536083303	0.006459983321059553	0.08897375539999999	-0.6155965654	0.045966345966346	False	True	1.0
cluster_6163	M08	155.0	0.0	0.3610440242019189	0.27480319552361776	-0.27480319552361776	-0.41662308366666667	-0.8417891609999999	0.3777106908685855	False	True	-1.0
cluster_5580	M02	156.0	0.0	0.0	0.0014647581598499462	-0.0014647581598499462	0.6871017704000001	0.9367087018000001	0.0	False	False	-1.0
