iter	morula_rank_lowest_is_1	lowest_stage	morula_weighted_methylation
600	1	Morula	0.3378950855768973
601	1	Morula	0.06858352514718544
602	3	2-cell	0.22435355147538424
603	2	2-cell	0.385658521882199
604	3	2-cell	-10.019828676679268
605	2	4-cell	0.3493417965059047
606	2	Zygote	0.3087726758144133
607	2	4-cell	0.22838123789283382
608	4	8-cell	0.3629409324513906
609	1	Morula	0.15685146841249425
610	1	Morula	0.155494626582788
611	1	Morula	0.26581576700556786
612	1	Morula	0.2811438353034509
613	5	2-cell	0.597109764700323
614	1	Morula	0.3947250998131452
615	2	Zygote	0.3088844267430715
616	3	Zygote	0.15369475485103243
617	1	Morula	-0.5344294174346599
618	4	4-cell	0.3547262274935867
619	1	Morula	0.36202077446363556
620	1	Morula	0.3246123427871448
621	2	4-cell	-0.1879763974494384
622	1	Morula	0.26916305574468746
623	2	2-cell	0.3798262618861127
624	1	Morula	0.41578031746509103
625	1	Morula	0.2185379857257097
626	1	Morula	0.23035433875823094
627	1	Morula	0.34552887211049294
628	2	Zygote	0.35659642959424936
629	1	Morula	0.26684970258635377
630	4	Zygote	-0.27019788425445024
631	5	8-cell	0.47762881070724245
632	4	Zygote	0.4158284777762792
633	1	Morula	0.23480182877353464
634	1	Morula	0.2355491205943345
635	2	4-cell	-0.12064739597134633
636	2	4-cell	0.3601802656198004
637	5	2-cell	0.5276963833680024
638	1	Morula	-0.014313916293080098
639	2	4-cell	0.40019961723539144
640	5	4-cell	0.4349667454020749
641	4	8-cell	0.4876885964912281
642	2	Zygote	0.36445819784338096
643	3	2-cell	0.4595560965085997
644	2	2-cell	-0.6814489506051481
645	1	Morula	0.2947141858387497
646	3	4-cell	0.32111138954606655
647	2	4-cell	0.09339482674838992
648	2	4-cell	0.28415034888838026
649	2	4-cell	-1.2180010496116704
650	2	4-cell	0.3785500315069682
651	1	Morula	0.3035606333141512
652	1	Morula	0.1880941380604533
653	3	Zygote	0.24228578604256326
654	5	4-cell	0.44606570225934106
655	3	Zygote	0.3357815277357646
656	3	4-cell	0.3202730135228749
657	3	2-cell	0.45199218868854163
658	1	Morula	0.18380646602319667
659	1	Morula	0.17868144807254074
660	6	Zygote	0.4907267601046249
661	1	Morula	0.23215103910793666
662	1	Morula	0.3984180653121343
663	3	Zygote	0.4425228519387352
664	3	2-cell	0.18814599939700333
665	1	Morula	0.28900205192587824
666	1	Morula	0.17125875638481014
667	1	Morula	0.28785647920338353
668	1	Morula	0.29160241714325086
669	2	2-cell	0.3311752127590776
670	1	Morula	0.34390376407110324
671	5	4-cell	0.5371169707331269
672	3	Zygote	0.27709370574582326
673	2	2-cell	0.3789789382206212
674	2	Zygote	0.22731044094503539
675	2	2-cell	0.2347662001798419
676	4	Zygote	0.4842330708490017
677	1	Morula	0.3551406957155626
678	1	Morula	0.18160810209417516
679	2	Zygote	0.4413696485968568
680	2	Zygote	0.30271404834332016
681	1	Morula	0.19530432365237443
682	1	Morula	0.08800814420596995
683	4	Zygote	0.3403642976822985
684	1	Morula	0.12277317879634692
685	5	4-cell	0.46430077227516053
686	2	4-cell	-1.0904961748954112
687	3	4-cell	0.43356114136029034
688	1	Morula	0.23210022961330495
689	3	Zygote	0.3680949381691427
690	2	4-cell	0.3497234718434212
691	1	Morula	0.2924692930201254
692	1	Morula	0.25681401446376345
693	1	Morula	0.11029810128889403
694	1	Morula	0.015280775917865013
695	6	2-cell	0.4253380388472705
696	2	2-cell	0.41751379053902027
697	1	Morula	-0.050300634694926516
698	1	Morula	0.17014029266707503
699	1	Morula	0.3648410543080388
700	4	2-cell	0.5388779338808181
701	2	2-cell	0.30439238972562754
702	1	Morula	0.24851345514518336
703	2	4-cell	0.12401265514412287
704	1	Morula	0.2968711277479514
705	6	2-cell	0.5336252458604773
706	2	4-cell	0.4339392248292619
707	5	4-cell	0.49278029571215864
708	1	Morula	0.3526378038515502
709	1	Morula	0.28087853430105997
710	1	Morula	0.11096964002732294
711	5	Zygote	0.5184075584186859
712	6	2-cell	0.543601797243795
713	2	4-cell	0.40597244194257953
714	1	Morula	0.2609303080751599
715	3	2-cell	0.2560286013356842
716	3	Zygote	0.6577751996854264
717	3	Zygote	0.3998520437726598
718	2	2-cell	0.35060319050804667
719	5	Zygote	0.6941729770923621
720	4	2-cell	0.5601049628841881
721	4	2-cell	0.4115189431688613
722	1	Morula	0.27346853862621145
723	2	Zygote	0.3047978608115637
724	2	2-cell	-0.01959331212762694
725	1	Morula	-1.451930942459328
726	3	Zygote	0.4038249833060926
727	1	Morula	0.3362356856331362
728	2	2-cell	-0.11570423291726234
729	1	Morula	0.26831106734889165
730	6	2-cell	0.7509635950813266
731	1	Morula	-0.7240165594176196
732	1	Morula	0.29773956547473157
733	1	Morula	0.2566683976145433
734	6	2-cell	0.6457523756201882
735	2	Zygote	0.4175034682714083
736	6	Oocyte	0.5270052631578948
737	1	Morula	0.18304782648183515
738	2	4-cell	0.3912885429347307
739	1	Morula	-0.8086211340703702
740	1	Morula	-0.14705958308150943
741	2	2-cell	-0.7627540265846882
