sample_id	stage	stage_order	tau	A	P	Hm	Hr	n_age_regions_used	n_observed_regions	observed_region_fraction
GSM2986359	2-cell	2	0.3333333333333333	0.4333936692247121	0.5757513330074346	0.5732477436585166	0.3464183265704423	125	125	0.8012820512820513
GSM2481536	4-cell	3	0.5	0.4889512615558175	0.1613803489635903	0.2399327276949862	0.5851144881755997	82	82	0.5256410256410257
GSM2481537	4-cell	3	0.5	0.2824924663683372	0.1613803489635903	0.2502306326077825	0.5851144881755997	89	89	0.5705128205128205
GSM2481538	4-cell	3	0.5	0.3386965568378851	0.1613803489635903	0.3208224350816169	0.5851144881755997	84	84	0.5384615384615384
GSM2481539	4-cell	3	0.5	0.4220899575306759	0.1613803489635903	0.3006498295238343	0.5851144881755997	95	95	0.6089743589743589
GSM2481540	4-cell	3	0.5	0.363134636096622	0.1613803489635903	0.330870473816594	0.5851144881755997	98	98	0.6282051282051282
GSM2481541	4-cell	3	0.5	0.4905028462352807	0.1613803489635903	0.3000413313056631	0.5851144881755997	94	94	0.6025641025641025
GSM2481542	4-cell	3	0.5	0.3542553410758389	0.1613803489635903	0.3096087517616707	0.5851144881755997	104	104	0.6666666666666666
GSM2481543	4-cell	3	0.5	0.3454014717302852	0.1613803489635903	0.247842112126927	0.5851144881755997	96	96	0.6153846153846154
GSM2481544	4-cell	3	0.5	0.4226402964327146	0.1613803489635903	0.2857313532141791	0.5851144881755997	107	107	0.6858974358974359
GSM2481545	4-cell	3	0.5	0.3219587566936926	0.1613803489635903	0.2986682168888606	0.5851144881755997	103	103	0.6602564102564102
GSM2481546	4-cell	3	0.5	0.0795351590327398	0.1613803489635903	0.1182360464325364	0.5851144881755997	78	78	0.5
GSM2481547	4-cell	3	0.5	0.2083847130546111	0.1613803489635903	0.1734616975571161	0.5851144881755997	79	79	0.5064102564102564
GSM2481548	4-cell	3	0.5	0.397213306086076	0.1613803489635903	0.192573542397264	0.5851144881755997	84	84	0.5384615384615384
