feature_set	control_model	alpha	sign_status	branch	control_modality	biological_status	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.25	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.030711851316281933	-0.044336798283931965	0.007228299897724534	0.10581227046088934	-0.003769629758532117	1.1949036178887786	0.9318518736365217	1.0845910614607055	0.8487798699346262	0.24521305254667433	0.6252860380123086	0.2457372551738328	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.158552875355116	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.25	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.030711851316281933	0.044336798283931965	-0.007228299897724534	-0.10581227046088934	0.003769629758532117	1.2015501163754956	0.9369684292455684	1.057615240929029	0.8487798699346263	0.24522886414781908	0.6247482308747259	0.24575328137386784	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1695303200112996	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.3	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.03685422157953832	-0.05320415794071836	0.008673959877269441	0.10581227046088931	-0.00452355571023854	1.1944187562901614	0.9314447283129316	1.0220155447342103	0.8487798699346262	0.2452125810649933	0.6253381492241415	0.2457367591489339	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.1577480190562257	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.3	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.03685422157953832	0.05320415794071836	-0.008673959877269441	-0.10581227046088931	0.00452355571023854	1.2023933618910516	0.9375805770691112	0.9255045245093128	0.8487798699346262	0.24523155370354904	0.62469280246811	0.2457559905319247	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.28888888888888886	0.875	0.875	2.170919441063609	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.35	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.0429965918427947	-0.06207151759750475	0.010119619856814347	0.1058122704608893	-0.005277481661944963	1.1939667669244898	0.9310568630889049	1.0204986998884948	0.8487798699346262	0.24521231105232968	0.6253899582898458	0.2457364643171311	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.156996643991014	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.35	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.0429965918427947	0.06207151759750475	-0.010119619856814347	-0.1058122704608893	0.005277481661944963	1.2032688299319085	0.9382107334662062	1.0549275232389548	0.8487798699346262	0.24523444713305642	0.6246370644178857	0.24575890085864843	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.1723612194156425	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.4	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.04913896210605109	-0.07093887725429114	0.011565279836359256	0.10581227046088927	-0.006031407613651387	1.1935476871373187	0.9306883578191136	0.9717470828388131	0.8487798699346263	0.24521224251860363	0.6254414640302313	0.2457363706790886	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1562987957568445	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.4	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.04913896210605109	0.07093887725429114	-0.011565279836359256	-0.10581227046088927	0.006031407613651387	1.2041764502181904	0.9388587694447672	1.0983113638076571	0.8487798699346262	0.24523755248913318	0.6245809759993302	0.24576201239225354	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.1738555638124275	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.45	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.05528133236930748	-0.07980623691107754	0.013010939815904161	0.10581227046088934	-0.00678533356535781	1.1931615516056098	0.9303392883462626	1.035900719260554	0.8487798699346262	0.24521237545685134	0.6254926666124541	0.24573647823493827	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.155654516351068	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.45	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.05528133236930748	0.07980623691107754	-0.013010939815904161	-0.10581227046088934	0.00678533356535781	1.205116150104545	0.9395245524972233	0.9331388826277938	0.8487798699346262	0.24524085942974178	0.6245245908440331	0.24576532514799326	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.26666666666666666	0.875	0.875	2.175402379615661	1.0224014859114376
