stage	tau	cluster_name	mean_beta
2-cell	0.3333333333333333	cluster_123	0.1120221483942414
2-cell	0.3333333333333333	cluster_125	0.1436201298701299
2-cell	0.3333333333333333	cluster_126	0.1446877042414289
2-cell	0.3333333333333333	cluster_242	0.2202475337961271
2-cell	0.3333333333333333	cluster_293	0.0
2-cell	0.3333333333333333	cluster_315	0.05892857142857143
2-cell	0.3333333333333333	cluster_386	0.1248062015503876
2-cell	0.3333333333333333	cluster_483	0.09888888888888889
2-cell	0.3333333333333333	cluster_543	0.12083333333333332
2-cell	0.3333333333333333	cluster_587	0.225
2-cell	0.3333333333333333	cluster_618	0.00625
2-cell	0.3333333333333333	cluster_634	0.0
2-cell	0.3333333333333333	cluster_643	0.11129125965786582
2-cell	0.3333333333333333	cluster_652	0.09166666666666666
2-cell	0.3333333333333333	cluster_832	0.6104166666666667
2-cell	0.3333333333333333	cluster_840	0.09166666666666666
2-cell	0.3333333333333333	cluster_883	0.07363636363636364
2-cell	0.3333333333333333	cluster_900	0.025
2-cell	0.3333333333333333	cluster_915	0.2564511752359922
2-cell	0.3333333333333333	cluster_916	0.05
2-cell	0.3333333333333333	cluster_950	0.46558608058608064
2-cell	0.3333333333333333	cluster_1007	0.07795138888888889
2-cell	0.3333333333333333	cluster_1126	0.13406640747767934
2-cell	0.3333333333333333	cluster_1257	0.025490196078431372
2-cell	0.3333333333333333	cluster_1333	0.12050762315364269
2-cell	0.3333333333333333	cluster_1387	0.0125
2-cell	0.3333333333333333	cluster_1406	0.05
2-cell	0.3333333333333333	cluster_1523	0.01
2-cell	0.3333333333333333	cluster_1556	0.0625
2-cell	0.3333333333333333	cluster_1564	0.0
2-cell	0.3333333333333333	cluster_1586	0.025
2-cell	0.3333333333333333	cluster_1607	0.12687500000000002
2-cell	0.3333333333333333	cluster_1688	0.0
2-cell	0.3333333333333333	cluster_1715	0.03285387488328665
2-cell	0.3333333333333333	cluster_1718	0.12489676505664879
2-cell	0.3333333333333333	cluster_1742	0.0625
2-cell	0.3333333333333333	cluster_1758	0.44940476190476186
2-cell	0.3333333333333333	cluster_1764	0.11049783549783547
2-cell	0.3333333333333333	cluster_1806	0.07280844155844154
2-cell	0.3333333333333333	cluster_1851	0.06875
2-cell	0.3333333333333333	cluster_1921	0.05
2-cell	0.3333333333333333	cluster_1922	0.17444258639910815
2-cell	0.3333333333333333	cluster_1976	0.4821428571428571
2-cell	0.3333333333333333	cluster_2004	0.07974553224553224
2-cell	0.3333333333333333	cluster_2126	0.004347826086956522
2-cell	0.3333333333333333	cluster_2190	0.05
2-cell	0.3333333333333333	cluster_2324	0.01986979133554575
2-cell	0.3333333333333333	cluster_2355	0.12547698759722103
2-cell	0.3333333333333333	cluster_2365	0.22288111167746716
2-cell	0.3333333333333333	cluster_2623	0.05
2-cell	0.3333333333333333	cluster_2637	0.09953703703703703
2-cell	0.3333333333333333	cluster_2727	0.006111111111111111
2-cell	0.3333333333333333	cluster_2743	0.21904761904761907
2-cell	0.3333333333333333	cluster_2776	0.06676220520909475
2-cell	0.3333333333333333	cluster_2832	0.009388730426243644
2-cell	0.3333333333333333	cluster_2910	0.057638888888888885
2-cell	0.3333333333333333	cluster_3123	0.5903742425773604
2-cell	0.3333333333333333	cluster_3133	0.02540485829959514
2-cell	0.3333333333333333	cluster_3227	0.1075
2-cell	0.3333333333333333	cluster_3275	0.15670454545454546
2-cell	0.3333333333333333	cluster_3303	0.008536212110037614
2-cell	0.3333333333333333	cluster_3336	0.019285714285714285
2-cell	0.3333333333333333	cluster_3348	0.0
2-cell	0.3333333333333333	cluster_3362	0.03258249264396805
2-cell	0.3333333333333333	cluster_3369	0.004545454545454545
2-cell	0.3333333333333333	cluster_3416	0.025
2-cell	0.3333333333333333	cluster_3519	0.3836506200567865
2-cell	0.3333333333333333	cluster_3660	0.06245039682539681
2-cell	0.3333333333333333	cluster_3684	0.026785714285714284
2-cell	0.3333333333333333	cluster_3762	0.1875
2-cell	0.3333333333333333	cluster_3766	0.025924695459579185
2-cell	0.3333333333333333	cluster_3928	0.41063007397855145
2-cell	0.3333333333333333	cluster_3967	0.07871858885595145
2-cell	0.3333333333333333	cluster_3978	0.07777777777777777
2-cell	0.3333333333333333	cluster_4026	0.9
2-cell	0.3333333333333333	cluster_4028	0.0
2-cell	0.3333333333333333	cluster_4064	0.0631042786703164
2-cell	0.3333333333333333	cluster_4084	0.07940544023436025
2-cell	0.3333333333333333	cluster_4141	0.3792513368983957
2-cell	0.3333333333333333	cluster_4364	0.08905753968253968
2-cell	0.3333333333333333	cluster_4373	0.825
2-cell	0.3333333333333333	cluster_4404	0.31825006012506013
2-cell	0.3333333333333333	cluster_4420	0.04662924794503741
2-cell	0.3333333333333333	cluster_4449	0.0
2-cell	0.3333333333333333	cluster_4532	0.15797619047619046
2-cell	0.3333333333333333	cluster_4538	0.35
2-cell	0.3333333333333333	cluster_4551	0.05
