bootstrap	center_PC1	center_PC2	center_PC3
374	-3.0649166991467474	-0.02160734678506164	-2.6844552637654346
375	-2.942806967180612	-0.1329315546755956	-2.7071593881903735
376	-3.1747250577134203	-0.010646589439904847	-2.6484685534029584
377	-3.1357822846251118	0.22537808387538352	-3.0161218422475162
378	-3.152934083796135	0.02524766503070052	-3.0149979474507083
379	-3.3190998563933674	0.3786597930732777	-2.841289949223375
380	-3.4234648124988762	0.09019081902771747	-2.7646509416625635
381	-3.177800180820241	-0.4037762233177064	-2.739179184289253
382	-3.288875426990743	0.23526937716299728	-2.6788502547191904
383	-2.971311428687584	-0.36375921368438263	-2.7973608824684484
384	-2.706889229757741	-0.144421233543767	-2.858736690158476
385	-3.000589161948046	0.19084006872329584	-2.8992450453482776
386	-3.0298458187542447	-0.6975162880191926	-2.93233135001141
387	-3.0425517233740846	-0.15673192803846814	-2.799657699236766
388	-3.0876725878114395	-0.23501994755821748	-2.971044363299379
389	-2.9996552031620514	-0.28187495937397966	-2.640501679614106
390	-3.199749864893194	-0.2887655240062377	-2.7939156535069207
391	-3.204218812775478	-0.050341530782742144	-2.8200581015684536
392	-3.1549551435760277	-0.4678130566687181	-2.7593353724951792
393	-2.942391675480904	-0.1530454366175333	-2.8770982928793716
394	-3.410281512729095	0.30983460513540584	-2.955797976055073
395	-3.249136392767404	-0.41825922114664926	-2.723551546235585
396	-3.1454345870967915	0.31867802274709034	-2.744772224632945
397	-3.4544374624190435	0.4090649319182069	-2.4740661465359923
398	-3.317102294448971	-0.4325104073153869	-2.874782022092272
399	-2.842093112914136	-0.5301902458850891	-2.951630819080899
400	-3.026444552527237	-0.04705110195916136	-2.704814336074243
401	-2.994527183341746	-0.4183332154535168	-2.760638433443459
402	-3.375310541395444	-0.5089319294679673	-2.872946106584362
403	-2.881554553088731	-0.31361377304503957	-3.012659800659511
404	-3.102482732115668	0.4751173018429047	-2.7629715168570357
405	-3.1017066664627198	-0.6443623166884466	-2.8583773153532115
406	-3.4482290235872943	0.2676413911498166	-2.9937653003507947
407	-3.0705761234095066	-0.3164718391448604	-2.794812946249436
408	-3.3095474629805377	0.1425022608323287	-2.7819116111212603
409	-3.5806116110470834	0.31839222359688896	-2.623460706884769
410	-3.072629020122992	0.21311605081247836	-2.5839655615337875
411	-3.0770533937155156	0.31281532697389014	-2.763480653465256
412	-2.9620724410387758	0.02667159648711242	-3.072976761527021
413	-2.8360629712414287	-0.11671491840514431	-2.8578393974159613
414	-3.0040242419854843	0.09940662721875801	-2.997372083392326
415	-3.105883998342676	-0.1753478842171266	-2.9904885307942033
416	-3.0972715323908666	-0.32375456535644875	-2.702844891398559
417	-2.9962093626452835	0.22986550962396785	-2.5663573095468744
418	-3.354092348685678	0.3568122726898316	-2.8761764827404543
419	-3.1844827124485153	0.051523746543937925	-2.8015349447675555
420	-3.144545202600557	-0.01531228828810148	-2.332656215028838
421	-3.3113982958964514	-0.2763706320176719	-2.917796983478206
422	-3.3221749795001867	-0.014469840804523904	-2.93200058010967
423	-3.140261992986725	0.04349504960546943	-3.018281622332233
424	-3.4148741363087605	0.7989629195486637	-2.9179702868070665
425	-3.098216251656191	-0.2713465647525829	-2.9376055891559147
426	-3.1111457410322627	0.3772845230486618	-2.4102338453550445
427	-3.3830228623716896	-0.27420853187042726	-2.772456404352715
428	-3.4969186909313685	0.5140940813117807	-2.803161070847651
429	-3.3769819602196516	0.559573823102927	-2.702647650664593
430	-2.8284743259625644	-0.10073399481292204	-2.894358962338068
431	-3.1905446910548156	0.6606970307207507	-2.9401415566723745
432	-3.3324032607040808	-0.21376793331006919	-2.737772754938518
433	-3.1297183291419737	0.07982166679983484	-3.0517203964756976
434	-3.3871210928440245	0.08282629647321421	-2.8151651132333115
435	-3.016696332794894	0.08115924264398916	-2.994088408510801
436	-3.2232682648320456	0.7035558441304817	-3.116170089619435
437	-3.4635299898424035	0.4863838651551343	-2.856756033197041
438	-3.519729914365151	0.019099170107298995	-2.912394858534844
439	-3.2674997447731666	0.29127751357554044	-2.8754407440779417
440	-3.148454375434521	0.20713069930061462	-3.012838167365991
441	-3.313982597052391	-0.17810549049966914	-2.9374440350759117
442	-3.0263892177581466	0.23453120847216447	-2.8821696479209944
443	-3.3524993179616613	-0.013937018263485638	-2.7637123188971686
444	-3.3034835074974	-0.0030541562432199534	-2.8175101653494417
445	-3.0172183022345958	-0.54054418638234	-2.7822423810229995
446	-3.179437785834018	0.10569778469769453	-2.6982707042626037
447	-3.11348340410087	-0.6116358353027586	-2.92998629789528
448	-3.3737731142435505	0.5365293057944773	-3.072054951388104
449	-2.9834926975461133	0.10938817713665293	-2.723013628298334
450	-3.064816790087896	0.12125024658418046	-3.0151832194821213
451	-3.2197905873816848	0.19264770147167168	-2.997210529312323
