cluster_name	observed_beta	baseline_predicted_beta	baseline_abs_error	baseline_sq_error	DMR_module_ridge_k16_predicted_beta	DMR_module_ridge_k16_abs_error	DMR_module_ridge_k16_sq_error	DMR_module_ridge_k16_abs_error_improvement_vs_baseline	DMR_module_ridge_k16_sq_error_improvement_vs_baseline	latent_PCA_ridge_q3_predicted_beta	latent_PCA_ridge_q3_abs_error	latent_PCA_ridge_q3_sq_error	latent_PCA_ridge_q3_abs_error_improvement_vs_baseline	latent_PCA_ridge_q3_sq_error_improvement_vs_baseline
cluster_4420	0.0	0.06653038319704986	0.06653038319704986	0.004426291888346295	0.06168541435961754	0.06168541435961754	0.0038050903447177094	0.004844968837432323	0.0006212015436285853	0.07344759109489532	0.07344759109489532	0.005394548637642946	-0.006917207897845459	-0.0009682567492966514
cluster_4449	0.0	0.022222222222222223	0.022222222222222223	0.0004938271604938272	0.032375734318234206	0.032375734318234206	0.0010481881726448882	-0.010153512096011983	-0.000554361012151061	0.026467522817693632	0.026467522817693632	0.0007005297641051331	-0.004245300595471409	-0.00020670260361130592
cluster_4532	1.0	0.055420875420875426	0.9445791245791246	0.8922297225906655	0.06455555468667086	0.9354444453133292	0.875056310267562	0.009134679265795476	0.017173412323103432	0.12425425647083749	0.8757457435291625	0.7669306073094456	0.06883338104996217	0.12529911528121984
cluster_4538	1.0	1.0	0.0	0.0	0.7686061819112457	0.23139381808875426	0.0535430990496915	-0.23139381808875426	-0.0535430990496915	0.6001667579463537	0.39983324205364634	0.15986662145112976	-0.39983324205364634	-0.15986662145112976
cluster_4551	0.0	0.007407407407407407	0.007407407407407407	5.486968449931412e-05	0.006020161221589884	0.006020161221589884	3.624234113393461e-05	0.0013872461858175228	1.8627343365379515e-05	0.032807598478022795	0.032807598478022795	0.0010763385178951636	-0.025400191070615388	-0.0010214688333958495
cluster_4593	0.0	0.05467836257309942	0.05467836257309942	0.0029897233336753197	0.050190205258290876	0.050190205258290876	0.002519056703869369	0.004488157314808547	0.0004706666298059507	0.10058212883855458	0.10058212883855458	0.010116764641695593	-0.045903766265455156	-0.007127041308020273
cluster_4605	0.45	0.35000000000000003	0.09999999999999998	0.009999999999999995	0.13772391943930892	0.3122760805606911	0.09751635049034725	-0.21227608056069114	-0.08751635049034726	0.3896123486526492	0.0603876513473508	0.003646668435249199	0.039612348652649176	0.006353331564750796
cluster_4889	0.4714285714285714	0.3374842603955989	0.1339443110329725	0.017941078458097677	0.15385593607898307	0.31757263534958835	0.10085237872288261	-0.18362832431661585	-0.08291130026478494	0.22703524274917153	0.2443933286793999	0.05972809910299719	-0.1104490176464274	-0.04178702064489951
cluster_4897	0.0	0.005555555555555556	0.005555555555555556	3.08641975308642e-05	0.005290947694331866	0.005290947694331866	2.799412750415569e-05	0.0002646078612236896	2.870070026708507e-06	0.043261949401791254	0.043261949401791254	0.0018715962660431466	-0.0377063938462357	-0.0018407320685122823
cluster_4899	0.0	0.05777777777777778	0.05777777777777778	0.003338271604938272	0.05443373863459941	0.05443373863459941	0.0029630319017398803	0.003344039143178372	0.00037523970319839174	0.06789449184479396	0.06789449184479396	0.004609662022862794	-0.010116714067016176	-0.0012713904179245217
cluster_4904	0.0	0.5	0.5	0.25	0.5435818418360354	0.5435818418360354	0.29548121877385664	-0.04358184183603542	-0.045481218773856635	0.21836790621829	0.21836790621829	0.0476845424661599	0.28163209378171	0.20231545753384012
