module_id	TF	motif_database	motif_id	log_odds_ratio	pvalue	motif_hit_count	foreground_nonhit_count	background_hit_count	background_nonhit_count	threshold	n_matched_background_sets	qvalue	motif_score_signed_logq	motif_score_mode	delta_8cell_to_morula	delta_8cell_to_morula_zscore	tf_activity
M05	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0524.3	0.3376954107456789	1.000000000000008	0	6	3	57	10.653919200268154	10	1.0	0.3376954107456789	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.12372801263162775
M10	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0815.1	0.7036069972197753	1.0000000000000149	0	3	2	28	-2.569316252846917	10	1.0	0.7036069972197753	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.25779413243276944
M10	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0524.3	0.7036069972197753	1.0000000000000149	0	3	2	28	6.052541786761395	10	1.0	0.7036069972197753	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.25779413243276944
M10	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0814.3	0.7036069972197753	1.0000000000000149	0	3	2	28	7.133118319552742	10	1.0	0.7036069972197753	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	0.25779413243276944
M05	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0814.3	-0.632695111505258	1.0000000000000837	0	6	6	54	11.140467198079682	10	1.0	-0.632695111505258	log_odds_ratio_fallback	0.2972623276657158	0.3663893813612063	-0.23181277049467092
M02	KLF17	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1514.2	1.6451551718550808	0.0817991671769471	4	26	15	285	7.786829739112071	10	0.9713651102262472	0.01261749969800142	signed_logq	-1.0900804988922346	-1.0993716627738386	-0.013871321623040226
M10	KLF17	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1514.2	2.773996325111173	0.2558651026393028	1	2	2	28	5.47632983848802	10	1.0	2.773996325111173	log_odds_ratio_fallback	-1.0900804988922346	-1.0993716627738386	-3.049652952465988
M05	KLF17	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1514.2	2.16366601097063	0.3234057609057598	1	5	3	57	6.396678823044486	10	1.0	2.16366601097063	log_odds_ratio_fallback	-1.0900804988922346	-1.0993716627738386	-2.3786731001680197
M01	KLF17	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1514.2	1.153208856190447	0.3347175466166598	2	19	11	199	9.23709999629968	10	1.0	1.153208856190447	log_odds_ratio_fallback	-1.0900804988922346	-1.0993716627738386	-1.267805137755608
M12	KLF17	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1514.2	0.7749334443652268	0.9999999999999792	0	4	2	38	4.088566367211262	10	1.0	0.7749334443652268	log_odds_ratio_fallback	-1.0900804988922346	-1.0993716627738386	-0.8519398692708573
M12	POU5F1	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1115.2	2.722466024471091	0.2540018121413407	1	3	2	38	8.849164341468033	10	1.0	2.722466024471091	log_odds_ratio_fallback	2.082504298150531	2.252540435447638	6.132464804253512
M10	POU5F1	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0142.1	2.773996325111173	0.2558651026393028	1	2	2	28	13.36546379098981	10	1.0	2.773996325111173	log_odds_ratio_fallback	2.082504298150531	2.252540435447638	6.24853889009607
M01	POU5F1	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1115.2	0.3440934762684055	0.6906648465160483	1	20	11	199	11.667651457573111	10	1.0	0.3440934762684055	log_odds_ratio_fallback	2.082504298150531	2.252540435447638	0.7750844688683256
