particle_id	stage	A	Hm	P	Hr	to_stage	vA	vHm	vP	vHr	transition_order
4-cell:0195	4-cell	0.4926117520074385	0.5046344236056396	0.2665804641325979	0.6637976038592841	8-cell	0.039290983519428	-0.1674239106850583	0.4971755852189757	-0.030273389550900642	3
4-cell:0196	4-cell	0.4926117520074385	0.5046344236056396	0.4966502763607448	0.6629341362284924	8-cell	0.03850726556834799	-0.1708651854431324	0.28545391844065776	-0.027688966795762715	3
4-cell:0197	4-cell	0.4926117520074385	0.5046344236056396	0.3670670592033799	0.6700234428261309	8-cell	0.038890493115200264	-0.1690362338130702	0.40498093393762236	-0.035788876308577855	3
4-cell:0198	4-cell	0.4926117520074385	0.5046344236056396	0.4771983786167798	0.6715590927510321	8-cell	0.03854445515584787	-0.17062572496705558	0.30351410109087157	-0.03643245105040438	3
4-cell:0199	4-cell	0.4926117520074385	0.5046344236056396	0.4372693871686492	0.6595697137202162	8-cell	0.03867493854434473	-0.17004477973516124	0.34027146408836934	-0.024844355067880852	3
8-cell:0000	8-cell	0.5264216104266164	0.3019260009277414	0.8319041348127003	0.6626625796665148	morula	-0.23375970949150154	-0.1497980162323474	-0.044723101672836774	-0.03926666274710766	4
8-cell:0001	8-cell	0.4066401731044553	0.0933849422909647	0.7985497790472389	0.6095261868581832	morula	-0.24512764069188653	-0.047330243155991776	-0.03680421137900747	0.008789658358707264	4
8-cell:0002	8-cell	0.4166776033068222	0.0644808152435372	0.692581562944778	0.6378546710817934	morula	-0.2545320902429078	-0.019802703026755013	-0.056650582014973416	-0.041569935659533486	4
8-cell:0003	8-cell	0.3990658118100397	0.225841521532688	0.8303856033831534	0.6451619759076852	morula	-0.22319824029480256	-0.1638302373304139	-0.045573190666054364	-0.022610041358987365	4
8-cell:0004	8-cell	0.4990287767962434	0.319062271634388	0.8491137009057914	0.6449523793200949	morula	-0.22020630721190954	-0.17494525032083524	-0.05477569015427808	-0.02150269702410945	4
8-cell:0005	8-cell	0.2730354214033543	0.0693744712227906	0.8491137009057914	0.6449523793200949	morula	-0.14206644578198366	-0.03177412798709694	-0.05544776990177447	-0.021575776321880014	4
8-cell:0006	8-cell	0.5990963211718985	0.2208602325976682	0.773245881587239	0.6257928075401988	morula	-0.2965523328759571	-0.07420412000939375	-0.029096599161598014	-0.009664507889847185	4
8-cell:0007	8-cell	0.4990287767962434	0.319062271634388	0.7396419086937219	0.6245811339000737	morula	-0.2210694882206975	-0.1757967962073671	-0.03230314797314149	-0.014990400631766154	4
8-cell:0008	8-cell	0.541242169223282	0.0207701577904501	0.6812568695182165	0.631603351110132	morula	-0.34131590827545955	0.033908134899142246	-0.0690119021162715	-0.040235842560461754	4
8-cell:0009	8-cell	0.397414785973966	0.2730980760154839	0.6812568695182165	0.631603351110132	morula	-0.21232816541992194	-0.20157094146995336	-0.06837786121212142	-0.04010660422092438	4
8-cell:0010	8-cell	0.5990963211718985	0.2208602325976682	0.8319041348127003	0.6626625796665148	morula	-0.2961153911880168	-0.07376066566550879	-0.04475361548926171	-0.039270608736414525	4
8-cell:0011	8-cell	0.5264216104266164	0.3019260009277414	0.8319041348127003	0.6626625796665148	morula	-0.23375970949150154	-0.1497980162323474	-0.044723101672836774	-0.03926666274710766	4
8-cell:0012	8-cell	0.582936320325133	0.4229847889065473	0.8319041348127003	0.6626625796665148	morula	-0.17052932467670662	-0.16051439618722702	-0.043828231781971594	-0.0391545107686988	4
8-cell:0013	8-cell	0.3199654720486978	0.1180855885854594	0.773245881587239	0.6257928075401988	morula	-0.17841302070325624	-0.07751962032653727	-0.030660414714146822	-0.00994582315773207	4
8-cell:0014	8-cell	0.4270127114960005	0.27692414776046	0.7396419086937219	0.6245811339000737	morula	-0.22382056120704572	-0.1929237751475731	-0.033584078498166026	-0.015238882438164514	4
8-cell:0015	8-cell	0.5293480757974359	0.3492539065839713	0.692581562944778	0.6378546710817934	morula	-0.20592207109431765	-0.16691177780256952	-0.052355033099776405	-0.04069774040061436	4
8-cell:0016	8-cell	0.5990963211718985	0.2208602325976682	0.8319041348127003	0.6626625796665148	morula	-0.29611539118801655	-0.07376066566550876	-0.044753615489262044	-0.039270608736414414	4
