sample_name	stage	s_rna	detected_genes	detected_gene_score	marker_score	potency_score	dataset	stage_order	P_raw	Hr_raw	D_raw	M_raw	P	Hr	D	M
Late blastocyst #1 -Cell#3(RPKM)	blastocyst	6.74907797641186	9805	0.2124043335652519	0.558422515645361	0.3854134246053065	GSE36552	6	0.3854134246053065	6.74907797641186	0.2124043335652519	0.558422515645361	0.369186327304862	0.5957977604265569	0.2584976412241441	0.558422515645361
Late blastocyst #1 -Cell#4(RPKM)	blastocyst	6.984890171968296	9394	0.1715535235066096	0.4181398110005477	0.2948466672535787	GSE36552	6	0.2948466672535787	6.984890171968296	0.1715535235066096	0.4181398110005477	0.20751685197277933	0.6326362867145041	0.20878190395548557	0.4181398110005477
Late blastocyst #1 -Cell#5(RPKM)	blastocyst	7.096498086567559	9336	0.1657886889971175	0.4331811850455729	0.2994849370213452	GSE36552	6	0.2994849370213452	7.096498086567559	0.1657886889971175	0.4331811850455729	0.21579656366535177	0.6500716491486067	0.20176605782024906	0.4331811850455729
Late blastocyst #1 -Cell#6(RPKM)	blastocyst	7.090088098193049	9739	0.2058443494682437	0.4333615525294066	0.3196029509988252	GSE36552	6	0.3196029509988252	7.090088098193049	0.2058443494682437	0.4333615525294066	0.2517089542551055	0.6490702822571166	0.25051409217370263	0.4333615525294066
Late blastocyst #1 -Cell#7(RPKM)	blastocyst	7.2490674974741935	9272	0.1594274922969883	0.4926311855468895	0.3260293389219389	GSE36552	6	0.3260293389219389	7.2490674974741935	0.1594274922969883	0.4926311855468895	0.2631806111211598	0.6739060069991768	0.19402443449860884	0.4926311855468895
Late blastocyst #1 -Cell#8(RPKM)	blastocyst	6.792988027883443	10067	0.2384454825564059	0.4127250406291878	0.3255852615927969	GSE36552	6	0.3255852615927969	6.792988027883443	0.2384454825564059	0.4127250406291878	0.2623878947767903	0.6026573784442939	0.29018991169710895	0.4127250406291878
Late blastocyst #1 -Cell#9(RPKM)	blastocyst	7.261644845190863	9614	0.1934201371633038	0.4447352448486248	0.3190776910059643	GSE36552	6	0.3190776910059643	7.261644845190863	0.1934201371633038	0.4447352448486248	0.2507713198521317	0.6758708373312122	0.235393734123624	0.4447352448486248
Late blastocyst #2 -Cell#1(RPKM)	blastocyst	6.50938455563621	10810	0.3122950004969685	0.7434458459712282	0.5278704232340984	GSE36552	6	0.5278704232340984	6.50938455563621	0.3122950004969685	0.7434458459712282	0.6234843600395037	0.5583529100384922	0.38006531994677634	0.7434458459712282
Late blastocyst #2 -Cell#10(RPKM)	blastocyst	7.153237302589325	9264	0.1586323427094722	0.4141566242814096	0.2863944834954409	GSE36552	6	0.2863944834954409	7.153237302589325	0.1586323427094722	0.4141566242814096	0.19242897476987067	0.6589354362654826	0.1930567315834039	0.4141566242814096
Late blastocyst #2 -Cell#2(RPKM)	blastocyst	7.119856552758515	10645	0.2958950402544478	0.91729163098951	0.6065933356219789	GSE36552	6	0.6065933356219789	7.119856552758515	0.2958950402544478	0.91729163098951	0.7640115503079468	0.6537207032986315	0.36010644732067243	0.91729163098951
Late blastocyst #2 -Cell#3(RPKM)	blastocyst	6.833288810096542	9816	0.2134976642480866	0.8915162790477507	0.5525069716479186	GSE36552	6	0.5525069716479186	6.833288810096542	0.2134976642480866	0.8915162790477507	0.6674627244253165	0.6089531572587817	0.259828232732551	0.8915162790477507
Late blastocyst #2 -Cell#4(RPKM)	blastocyst	7.24001318339363	9717	0.2036576881025742	0.4774882579478491	0.3405729730252117	GSE36552	6	0.3405729730252117	7.24001318339363	0.2036576881025742	0.4774882579478491	0.2891422527173856	0.6724915441615398	0.2478529091568887	0.4774882579478491
