source	target	weight	same_chr	same_gene	entropy_similarity	age_weight_similarity	genomic_similarity	same_context_score	source_gene	target_gene
cluster_4899	cluster_4420	0.7791707640457466	False	False	0.8945418334044101	0.9847904822191996	0.0	1.0	LINC00320	SMYD1
cluster_7683	cluster_1333	0.7791486505653643	False	False	0.9456553090563116	0.9298179978584116	0.0	0.5	ARID3C	ALX4
cluster_23	cluster_5400	0.7787252405865562	False	False	0.9359080562629843	0.9692333601041091	0.0	0.5	TTLL10	SLC49A3
cluster_883	cluster_618	0.7784844052162919	False	False	0.891988945866381	0.9912772693542945	0.0	1.0	CHAT	TRIM17
cluster_7683	cluster_6020	0.7783357330380523	False	False	0.898283581274333	0.9630093680649056	0.0	1.0	ARID3C	NKX2-5
cluster_3336	cluster_2727	0.7781998408353108	False	False	0.8922478103282894	0.9882584274794837	0.0	1.0	NEUROD2	MAN2A2
cluster_6871	cluster_5307	0.7781091178686603	False	False	0.9398190308126122	0.9481783189364159	0.0	0.5	HOXA11-AS	ZIC4
cluster_4064	cluster_2832	0.7780870258877701	False	False	0.9287282686623473	0.9960910083816291	0.0	0.5	GIPR	NPW
cluster_3369	cluster_5966	0.7779304542007872	False	False	0.915487595863614	0.8857567792629207	0.0	1.0	KCNH4	PCDHGA1
cluster_7683	cluster_1564	0.7778936248777665	False	False	0.9046312937471717	0.9325552262806986	0.0	1.0	ARID3C	TIMM8B
cluster_1564	cluster_2727	0.7777847035601431	False	False	0.8895913088779142	0.9970023519299916	0.0	1.0	TIMM8B	MAN2A2
cluster_4373	cluster_543	0.7775894458964305	False	False	0.9530911512891543	0.7205346503898681	0.0	1.0	FSHR	MIR181A1HG
cluster_5928	cluster_4904	0.7774559082354212	False	False	0.9141624228748064	0.8883355557786464	0.0	1.0	CTXN3	KRTAP25-1
cluster_1007	cluster_2637	0.7774000383273849	False	False	0.9155640772003218	0.8818892543145043	0.0	1.0	ABLIM1	SLC24A5
cluster_6020	cluster_3303	0.7773091918243573	False	False	0.9344049842204097	0.966306347207273	0.0	0.5	NKX2-5	PYY2
cluster_5923	cluster_2910	0.7771095006033195	False	False	0.9309424865185316	0.9799792291084928	0.0	0.5	PRR16	GSG1L
cluster_2637	cluster_315	0.7770094814114543	False	False	0.8891502772130107	0.9937453414866488	0.0	1.0	SLC24A5	PDE4B
cluster_7425	cluster_5661	0.7768671344404955	False	False	0.9269831225838231	0.995520698406736	0.0	0.5	CSGALNACT1	ASB5
cluster_883	cluster_5400	0.7767542936331195	False	False	0.9153639419266805	0.8784515425385145	0.0	1.0	CHAT	SLC49A3
cluster_916	cluster_5580	0.7767444798441608	False	False	0.9290955767448102	0.9855490330668939	0.0	0.5	NUDT13	FGF5
cluster_5608	cluster_6400	0.7766472687442667	False	False	0.8873310040612352	0.9992141073630921	0.0	1.0	ANK2	PNPLA1
cluster_5336	cluster_2637	0.7764932603527482	False	False	0.9328448295896018	0.9676274741300472	0.0	0.5	LINC00578	SLC24A5
cluster_618	cluster_3369	0.7764442882142978	False	False	0.9063904849649871	0.9152698199137075	0.0	1.0	TRIM17	KCNH4
cluster_6020	cluster_1564	0.7763791759043178	False	False	0.9304716468162281	0.8104840364917968	0.0	1.0	NKX2-5	TIMM8B
cluster_6871	cluster_916	0.7763147942341203	False	False	0.9389450391678367	0.9400034585001756	0.0	0.5	HOXA11-AS	NUDT13
cluster_6495	cluster_5240	0.7762159495147491	False	False	0.8947579961081954	0.9641550136294802	0.0	1.0	TMEM244	TMEM30CP
cluster_5656	cluster_1333	0.7761905652358706	False	False	0.9261155885742255	0.99476955108416	0.0	0.5	HAND2-AS1	ALX4
cluster_3336	cluster_916	0.7759297493823069	False	False	0.9408899559050243	0.9290085202936073	0.0	0.5	NEUROD2	NUDT13
cluster_6400	cluster_4420	0.7758742199245514	False	False	0.9157043687690523	0.8711092014977826	0.0	1.0	PNPLA1	SMYD1
cluster_5024	cluster_5966	0.7758058935357738	False	False	0.9287052020749484	0.980983414580382	0.0	0.5	RFPL2	PCDHGA1
cluster_5599	cluster_4920	0.7756286409537473	False	False	0.9059421557020658	0.9117749316493629	0.0	1.0	ARHGEF38	KCNJ15
cluster_6275	cluster_123	0.7753016676142349	False	False	0.9235414598945287	0.9999981245519407	0.0	0.5	VWA7	ESPN
cluster_6871	cluster_2727	0.7747171846760674	False	False	0.8858829984056718	0.992621571415872	0.0	1.0	HOXA11-AS	MAN2A2
cluster_1851	cluster_6871	0.7746905747149126	False	False	0.9623554534965185	0.9943968662811709	0.0	0.0	GDF11	HOXA11-AS
cluster_1688	cluster_6406	0.774390352801766	False	False	0.9319999118738597	0.9572694005583813	0.0	0.5	WNT5B	LRFN2
cluster_618	cluster_5580	0.7739969772523069	False	False	0.8907282644008323	0.9668240359451056	0.0	1.0	TRIM17	FGF5
cluster_1564	cluster_3978	0.7737517488068348	False	False	0.9212747320818083	0.8328211530243961	0.0	1.0	TIMM8B	COMP
cluster_5215	cluster_6604	0.7737062046320043	False	False	0.9239457832218234	0.9876096369187937	0.0	0.5	SYNPR	RPS6KA2
cluster_4064	cluster_5024	0.7734966602445134	False	False	0.9242258346213819	0.9849991182707677	0.0	0.5	GIPR	RFPL2
cluster_1715	cluster_6020	0.7734108189397789	False	False	0.9561409850025366	0.846127857920867	0.0	0.5	ATN1	NKX2-5
cluster_4920	cluster_1764	0.7732218837454963	False	False	0.9059883644122264	0.8955296458503266	0.0	1.0	KCNJ15	LMNTD1
cluster_293	cluster_5307	0.7728111511985799	False	False	0.9261124500565955	0.9722537244119519	0.0	0.5	LINC01389	ZIC4
cluster_652	cluster_2637	0.7726805708008958	False	False	0.9195484198226539	0.9998273194411389	0.0	0.5	GREM2	SLC24A5
cluster_1718	cluster_4920	0.7726283787613576	False	False	0.9327832579688883	0.9421284072105345	0.0	0.5	C1R	KCNJ15
cluster_293	cluster_5760	0.7725684160328253	False	False	0.8868117842999889	0.974271708252217	0.0	1.0	LINC01389	LINC02116
cluster_5928	cluster_3275	0.7722333810791724	False	False	0.884801798896512	0.9807480786429306	0.0	1.0	CTXN3	MYH1
cluster_6406	cluster_5400	0.7719657249929284	False	False	0.9634047073083211	0.8050177682834643	0.0	0.5	LRFN2	SLC49A3
cluster_883	cluster_5966	0.7718180723046044	False	False	0.8801434593808426	0.9981654913803776	0.0	1.0	CHAT	PCDHGA1
cluster_6406	cluster_883	0.7715052443434821	False	False	0.920265407868041	0.9888848615283701	0.0	0.5	LRFN2	CHAT
cluster_6406	cluster_5447	0.7708147767618527	False	False	0.9184333537163798	0.9922206456413724	0.0	0.5	LRFN2	FGFR3
cluster_6163	cluster_6171	0.7707164750231672	True	False	0.8073009689675473	0.9698053679960057	0.7550003999486058	0.5	OR14J1	OR2H2
cluster_5608	cluster_4420	0.7705951667792614	False	False	0.9118817874062773	0.8524800331012076	0.0	1.0	ANK2	SMYD1
cluster_618	cluster_916	0.7705536135517287	False	False	0.917151341893862	0.9960349421381223	0.0	0.5	TRIM17	NUDT13
cluster_7052	cluster_643	0.7704938726146322	False	False	0.8914694818854588	0.9402580625938929	0.0	1.0	PTPRZ1	NID1
cluster_6020	cluster_3978	0.7704079617509625	False	False	0.8777678486166317	0.9990590676676793	0.0	1.0	NKX2-5	COMP
cluster_3336	cluster_5580	0.7704052654952829	False	False	0.8827292078170799	0.9775418694278731	0.0	1.0	NEUROD2	FGF5
cluster_5656	cluster_5064	0.7702721975505169	False	False	0.92972035437842	0.9396931146969586	0.0	0.5	HAND2-AS1	WNT7B
cluster_5307	cluster_5024	0.7701151538153803	False	False	0.9540337374260225	0.9999548299231046	0.0	0.0	ZIC4	RFPL2
cluster_23	cluster_3362	0.7700079603506671	False	False	0.9323376528939842	0.9265899064638492	0.0	0.5	TTLL10	KRT19
cluster_2832	cluster_5580	0.7696643239907096	False	False	0.9536205273456404	0.998739874773622	0.0	0.0	NPW	FGF5
cluster_293	cluster_5400	0.7689196114858095	False	False	0.9023038281792732	0.882814154461879	0.0	1.0	LINC01389	SLC49A3
cluster_4899	cluster_7612	0.768784928123741	False	False	0.9519906988188133	0.9999398259434158	0.0	0.0	LINC00320	MIR4472-1
cluster_1586	cluster_618	0.7687487380629305	False	False	0.9144403937101786	0.995749881008763	0.0	0.5	DSCAML1	TRIM17
cluster_293	cluster_3978	0.7687299633108626	False	False	0.8758137382918098	0.996340222807908	0.0	1.0	LINC01389	COMP
cluster_1688	cluster_1715	0.7685549654653787	True	False	0.9196148063550138	0.9686925485108534	0.005014590579917968	0.5	WNT5B	ATN1
cluster_6171	cluster_915	0.768553684911049	False	False	0.878975600600415	0.9814636301385283	0.0	1.0	OR2H2	PLA2G12B
cluster_3660	cluster_315	0.7684142191826606	False	False	0.8748664614045559	0.9983401284646615	0.0	1.0	DSC1	PDE4B
