sample_id	stage	A_raw	n_age_regions_used	Hm_raw	rna_stage	Hr_raw	P_raw	A	P	Hm	Hr	stage_order
GSM2481546	4-cell	0.03091277737921692	78	0.0108059330729532	4-cell	7.209825156128907	0.4028776928668116	0.0795351590327398	0.16138034896359035	0.11823604643253648	0.5851144881755997	3
GSM2481547	4-cell	0.08099248586700522	79	0.0146363436923505	4-cell	7.209825156128907	0.4028776928668116	0.2083847130546111	0.16138034896359035	0.17346169755711618	0.5851144881755997	3
GSM2481548	4-cell	0.1543841321552788	84	0.015961927219955	4-cell	7.209825156128907	0.4028776928668116	0.397213306086076	0.16138034896359035	0.19257354239726404	0.5851144881755997	3
GSM2481549	4-cell	0.1254124019314449	66	0.0042594384155114	4-cell	7.209825156128907	0.4028776928668116	0.32267224681666673	0.16138034896359035	0.023850753062163603	0.5851144881755997	3
GSM2481550	4-cell	0.07052481251702572	74	0.005663069676146	4-cell	7.209825156128907	0.4028776928668116	0.18145254664393054	0.16138034896359035	0.044087865478993044	0.5851144881755997	3
GSM2481551	4-cell	0.0488377143497088	50	0.0028350775333853	4-cell	7.209825156128907	0.4028776928668116	0.12565404039725936	0.16138034896359035	0.0033147675066067224	0.5851144881755997	3
GSM2481552	4-cell	0.20283483000093158	50	0.0026051676925851	4-cell	7.209825156128907	0.4028776928668116	0.5218715958000245	0.16138034896359035	0.0	0.5851144881755997	3
GSM2986360	4-cell	0.24393831296308854	118	0.0415853887492942	4-cell	7.209825156128907	0.4028776928668116	0.6276263137954569	0.16138034896359035	0.562004521900457	0.5851144881755997	3
GSM2986361	4-cell	0.15422591910086256	117	0.0290110167316225	4-cell	7.209825156128907	0.4028776928668116	0.3968062413862697	0.16138034896359035	0.3807111956335514	0.5851144881755997	3
GSM2986362	4-cell	0.18724012472518328	108	0.0261464229075921	4-cell	7.209825156128907	0.4028776928668116	0.48174814299732566	0.16138034896359035	0.33941038617505515	0.5851144881755997	3
GSM2986363	4-cell	0.12218643109258019	76	0.01280589363667	4-cell	7.209825156128907	0.4028776928668116	0.31437218045392745	0.16138034896359035	0.14707084649168015	0.5851144881755997	3
GSM2986364	4-cell	0.20458315624426965	123	0.0420073988640743	4-cell	7.209825156128907	0.4028776928668116	0.5263698459604418	0.16138034896359035	0.5680889305149979	0.5851144881755997	3
GSM2986365	4-cell	0.12908909614042247	125	0.0385670865844424	4-cell	7.209825156128907	0.4028776928668116	0.33213197458678895	0.16138034896359035	0.5184875941067217	0.5851144881755997	3
GSM2986366	4-cell	0.2086788537590648	120	0.0324753711678636	4-cell	7.209825156128907	0.4028776928668116	0.5369076229189185	0.16138034896359035	0.4306591642661793	0.5851144881755997	3
GSM2986367	4-cell	0.19146246275717535	118	0.0376062408484643	4-cell	7.209825156128907	0.4028776928668116	0.49261175200743856	0.16138034896359035	0.5046344236056396	0.5851144881755997	3
GSM2481618	8-cell	0.09091187084864755	41	0.0068743149553151	8-cell	7.008318594141211	0.6354066812794584	0.2339061941025194	1.0	0.06155121754755327	0.23667709995994704	4
GSM2481619	8-cell	0.11808216934475733	46	0.0089442436029806	8-cell	7.008318594141211	0.6354066812794584	0.30381236867057904	1.0	0.09139479535351046	0.23667709995994704	4
GSM2481620	8-cell	0.05361230559411123	38	0.0058253635347589	8-cell	7.008318594141211	0.6354066812794584	0.13793853587566254	1.0	0.04642776709946948	0.23667709995994704	4
GSM2481621	8-cell	0.10966150984196314	44	0.0094057835212357	8-cell	7.008318594141211	0.6354066812794584	0.2821469426074534	1.0	0.09804913219576622	0.23667709995994704	4
GSM2481622	8-cell	0.11639197080838408	36	0.0072514131462319	8-cell	7.008318594141211	0.6354066812794584	0.2994636746746222	1.0	0.06698810022165104	0.23667709995994704	4
GSM2481623	8-cell	0.1580480544390412	50	0.0090822787335432	8-cell	7.008318594141211	0.6354066812794584	0.4066401731044553	1.0	0.09338494229096474	0.23667709995994704	4
GSM2481624	8-cell	0.12436036498532575	55	0.010795497427135	8-cell	7.008318594141211	0.6354066812794584	0.3199654720486978	1.0	0.11808558858545944	0.23667709995994704	4
GSM2481626	8-cell	0.04645880647143202	46	0.007161212195874	8-cell	7.008318594141211	0.6354066812794584	0.11953337339597632	1.0	0.06568761139407081	0.23667709995994704	4
GSM2481627	8-cell	0.25420351963371135	25	0.0041566517514122	8-cell	7.008318594141211	0.6354066812794584	0.6540375558212489	1.0	0.02236880738692553	0.23667709995994704	4
GSM2481628	8-cell	0.20460327543983634	103	0.0235465334651119	8-cell	7.008318594141211	0.6354066812794584	0.5264216104266164	1.0	0.30192600092774147	0.23667709995994704	4
GSM2481629	8-cell	0.16596620977570367	82	0.0218124232839475	8-cell	7.008318594141211	0.6354066812794584	0.4270127114960005	1.0	0.27692414776046004	0.23667709995994704	4
GSM2481630	8-cell	0.18750482159293286	92	0.0257826534584389	8-cell	7.008318594141211	0.6354066812794584	0.4824291787778921	1.0	0.33416567309208123	0.23667709995994704	4
GSM2481631	8-cell	0.19395655544707097	101	0.0247350926211377	8-cell	7.008318594141211	0.6354066812794584	0.49902877679624347	1.0	0.31906227163438805	0.23667709995994704	4
GSM2481632	8-cell	0.1544624409560215	89	0.0215470497565359	8-cell	7.008318594141211	0.6354066812794584	0.397414785973966	1.0	0.27309807601548397	0.23667709995994704	4
GSM2481633	8-cell	0.17115520580314636	100	0.0262665091924131	8-cell	7.008318594141211	0.6354066812794584	0.44036342467198253	1.0	0.34114175232070737	0.23667709995994704	4
GSM2481634	8-cell	0.19859672448406787	104	0.0251498954018068	8-cell	7.008318594141211	0.6354066812794584	0.5109674187943082	1.0	0.3250427671809312	0.23667709995994704	4
GSM2481635	8-cell	0.1551041419941356	76	0.0182693698298892	8-cell	7.008318594141211	0.6354066812794584	0.3990658118100397	1.0	0.22584152153268805	0.23667709995994704	4
GSM2481636	8-cell	0.19902714139604882	80	0.0184884489561135	8-cell	7.008318594141211	0.6354066812794584	0.5120748339296367	1.0	0.22900013521558468	0.23667709995994704	4
GSM2481637	8-cell	0.23284961557028244	79	0.0179238712862515	8-cell	7.008318594141211	0.6354066812794584	0.5990963211718985	1.0	0.22086023259766824	0.23667709995994704	4
