stage	sample	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_5400	-0.013997351	7.0	39.0	0.1794871794871795	9
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_6114	0.03469714	6.0	6.0	1.0	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_6275	-0.032421038	4.0	11.0	0.36363636363636365	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_7612	0.043674447	84.0	112.0	0.75	36
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_950	0.033547863	45.0	47.0	0.9574468085106383	10
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_4449	0.013610554	4.0	4.0	1.0	2
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_386	0.028296419	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3766	-0.026841848	6.0	6.0	1.0	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_4889	-0.019214397	18.0	28.0	0.6428571428571429	8
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_3123	0.029691182	62.0	64.0	0.96875	11
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_5923	0.033485903	2.0	2.0	1.0	2
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_3519	0.033654647	89.0	127.0	0.7007874015748031	18
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_1007	0.020471085	3.0	4.0	0.75	3
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_3133	-0.018315712	17.0	206.0	0.0825242718446602	8
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_3762	-0.027459185	0.0	16.0	0.0	2
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_6262	-0.037492605	7.0	7.0	1.0	2
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_643	0.045617076	186.0	191.0	0.9738219895287958	19
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_126	-0.021650446	68.0	75.0	0.9066666666666666	6
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_4909	0.023414564	2.0	2.0	1.0	1
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_5760	-0.024623956	13.0	83.0	0.1566265060240964	2
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_7000	-0.023266685	0.0	1.0	0.0	1
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_6400	0.057841086	428.0	450.0	0.9511111111111111	18
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_5307	-0.024274621	24.0	381.0	0.06299212598425197	13
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_6871	-0.011480476	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_1257	-0.042734524	83.0	142.0	0.5845070422535211	6
