source	term_id	term_name	p_value_gprofiler	significant_gprofiler	term_size	query_size	intersection_size	precision	recall	representative_genes
GO:BP	GO:0051246	regulation of protein metabolic process	1.0	False	1574	34	3	0.08823529411764706	0.0019059720457433292	PRR16,NR2F2,DAPL1
GO:BP	GO:0051128	regulation of cellular component organization	1.0	False	2427	34	2	0.058823529411764705	0.0008240626287597857	GSG1L,LRFN2
GO:BP	GO:0051248	negative regulation of protein metabolic process	1.0	False	569	34	2	0.058823529411764705	0.0035149384885764497	NR2F2,DAPL1
GO:BP	GO:0050868	negative regulation of T cell activation	1.0	False	132	34	1	0.029411764705882353	0.007575757575757576	DAPL1
GO:BP	GO:0050877	nervous system process	1.0	False	1503	34	6	0.17647058823529413	0.003992015968063872	ABLIM1,OR14J1,CRYBA2,OR6K2,DAPL1,HOXD10
GO:BP	GO:0050878	regulation of body fluid levels	1.0	False	374	34	1	0.029411764705882353	0.00267379679144385	RASA3
GO:BP	GO:0050896	response to stimulus	1.0	False	9051	34	16	0.47058823529411764	0.0017677604684565242	FSHR,ANK2,RASA3,WNT5B,IRF9,NR2F2,GREM2,OR14J1,ATN1,PLEKHG5,ST18,OR6K2,WNT7B,SMOC2,DAPL1,NKX2-5
GO:BP	GO:0050905	neuromuscular process	1.0	False	174	34	1	0.029411764705882353	0.005747126436781609	HOXD10
GO:BP	GO:0050906	detection of stimulus involved in sensory perception	1.0	False	515	34	3	0.08823529411764706	0.005825242718446602	OR14J1,OR6K2,DAPL1
GO:BP	GO:0050907	detection of chemical stimulus involved in sensory perception	1.0	False	441	34	3	0.08823529411764706	0.006802721088435374	OR14J1,OR6K2,DAPL1
GO:BP	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	1.0	False	396	34	3	0.08823529411764706	0.007575757575757576	OR14J1,OR6K2,DAPL1
GO:BP	GO:0050918	positive chemotaxis	1.0	False	71	34	1	0.029411764705882353	0.014084507042253521	WNT7B
GO:BP	GO:0050866	negative regulation of cell activation	1.0	False	213	34	1	0.029411764705882353	0.004694835680751174	DAPL1
GO:BP	GO:0050920	regulation of chemotaxis	1.0	False	201	34	1	0.029411764705882353	0.004975124378109453	SMOC2
GO:BP	GO:0050953	sensory perception of light stimulus	1.0	False	226	34	2	0.058823529411764705	0.008849557522123894	ABLIM1,CRYBA2
GO:BP	GO:0048935	peripheral nervous system neuron development	1.0	False	15	34	1	0.029411764705882353	0.06666666666666667	HOXD10
GO:BP	GO:0050673	epithelial cell proliferation	1.0	False	435	34	3	0.08823529411764706	0.006896551724137931	DSC1,NR2F2,NKX2-5
GO:BP	GO:0050678	regulation of epithelial cell proliferation	1.0	False	356	34	3	0.08823529411764706	0.008426966292134831	DSC1,NR2F2,NKX2-5
GO:BP	GO:0050679	positive regulation of epithelial cell proliferation	1.0	False	200	34	1	0.029411764705882353	0.005	NKX2-5
GO:BP	GO:0050680	negative regulation of epithelial cell proliferation	1.0	False	133	34	2	0.058823529411764705	0.015037593984962405	DSC1,NR2F2
GO:BP	GO:0050789	regulation of biological process	1.0	False	12397	34	26	0.7647058823529411	0.0020972816003871904	PCDH17,FSHR,DSC1,ANK2,RASA3,WNT5B,IRF9,PRR16,NR2F2,GREM2,GSG1L,OR14J1,ATN1,LRFN2,PLEKHG5,CHAT,ST18,ARID3C,ALX4,OR6K2,WNT7B,SMOC2,DAPL1,SMYD1,HOXD10,NKX2-5
GO:BP	GO:0050790	regulation of catalytic activity	1.0	False	774	34	2	0.058823529411764705	0.002583979328165375	RASA3,NR2F2
GO:BP	GO:0050793	regulation of developmental process	1.0	False	2431	34	5	0.14705882352941177	0.0020567667626491155	WNT5B,WNT7B,SMOC2,SMYD1,NKX2-5
GO:BP	GO:0050921	positive regulation of chemotaxis	1.0	False	141	34	1	0.029411764705882353	0.0070921985815602835	SMOC2
GO:BP	GO:0050865	regulation of cell activation	1.0	False	627	34	1	0.029411764705882353	0.001594896331738437	DAPL1
GO:BP	GO:0050863	regulation of T cell activation	1.0	False	386	34	1	0.029411764705882353	0.0025906735751295338	DAPL1
GO:BP	GO:0050821	protein stabilization	1.0	False	230	34	1	0.029411764705882353	0.004347826086956522	ANK2
GO:BP	GO:0051249	regulation of lymphocyte activation	1.0	False	506	34	1	0.029411764705882353	0.001976284584980237	DAPL1
