sample_name	stage	POU5F1	NANOG	SOX2	KLF4	DPPA3	ZSCAN4	KLF17	TFAP2C	GDF3
Late blastocyst #1 -Cell#3(RPKM)	blastocyst	5.377428871556151	2.5441970485912986	1.712716261887602	4.03422293888072	7.930615115875678	0.09712671073072274	0.8578138021151792	4.308797122714841	0.0
Late blastocyst #1 -Cell#4(RPKM)	blastocyst	5.176110183769187	0.2639015437863775	0.0	3.2345916813082036	7.851696585822708	0.0	0.0	3.6523191988021337	0.0
Late blastocyst #1 -Cell#5(RPKM)	blastocyst	5.669922301434765	0.3913661837286627	0.0	3.1961802169360123	7.78464675376499	0.0	0.0	3.853206747535612	0.0
Late blastocyst #1 -Cell#6(RPKM)	blastocyst	5.499153957339706	0.12486898204586927	0.3694924476493468	4.141609754689215	7.314685313561369	0.0	0.0	3.4541060373175574	0.0
Late blastocyst #1 -Cell#7(RPKM)	blastocyst	6.301878775124078	0.18813794211539445	0.6652619770704096	4.824120959882596	7.617467498559634	0.0	0.0	4.131174599472816	0.0
Late blastocyst #1 -Cell#8(RPKM)	blastocyst	5.415389038133874	0.25464221837358075	0.0	2.9613478466921603	7.706686685422053	0.0	0.0	3.5825462433193196	0.0
Late blastocyst #1 -Cell#9(RPKM)	blastocyst	6.480388061206228	0.0	0.0	3.852442837979302	7.309866101091058	0.0	0.1414995622736995	3.6616624078203834	0.0
Late blastocyst #2 -Cell#1(RPKM)	blastocyst	5.838756160009674	3.9396381724611196	3.074219926602732	4.170919726448173	7.61141203992667	0.0	2.6402708786809206	3.6803935504636383	4.723441991066127
Late blastocyst #2 -Cell#10(RPKM)	blastocyst	5.057684260720996	1.86516481364433	0.0	0.9282193027394289	8.268829263268605	0.0	0.0	3.8689275953225604	0.0
Late blastocyst #2 -Cell#2(RPKM)	blastocyst	7.170670161062692	5.690146593833036	4.27957854046309	5.185881882218247	6.996303557666414	0.0	4.400406681955311	3.7055644816442075	6.534038806688551
Late blastocyst #2 -Cell#3(RPKM)	blastocyst	6.89476628606809	6.314437143666471	4.277790486677764	5.338892930706824	5.902187879010032	0.0	4.639049737421769	4.441803838709743	4.9254985225717105
Late blastocyst #2 -Cell#4(RPKM)	blastocyst	4.353447102790566	0.7193021380367964	0.0	2.445039060788979	8.250068755287224	0.0	1.9811393903894556	2.4731713935695794	2.784331999259369
Late blastocyst #2 -Cell#5(RPKM)	blastocyst	4.87425031004021	0.0	0.0	0.24294617861038947	7.7605744403244366	0.0	0.0	3.121395291549648	0.1414995622736995
Late blastocyst #2 -Cell#6(RPKM)	blastocyst	5.1086932105637395	0.25153662581542763	0.0	0.0	8.016570011934673	0.0	0.0	4.626579365225591	3.200263688656219
Late blastocyst #2 -Cell#7(RPKM)	blastocyst	5.042495652843245	0.4749911707567746	0.10705907229340778	1.1556225433848892	8.01022179722243	0.0	0.0	4.450094078084332	0.2986220124901153
Late blastocyst #2 -Cell#8(RPKM)	blastocyst	6.1711451195708475	0.555033878430311	0.0	5.38625498111384	6.4811084130142715	0.0	0.23586232372198446	0.9809542451998773	0.15700374880966475
Late blastocyst #2 -Cell#9(RPKM)	blastocyst	3.814829052436713	1.2047724844965002	0.0	1.5991855359697489	7.818623334687898	0.0	0.22314355131420976	4.217284647778752	0.1578580846155803
Late blastocyst #3 -Cell#1(RPKM)	blastocyst	7.125398129141416	5.21450631758673	0.0	4.399240128741784	5.798377247102545	0.0	0.36186147062603247	0.0	4.135854320178853
Late blastocyst #3 -Cell#2(RPKM)	blastocyst	6.4592908076059095	1.6544112780768316	1.9822420783027037	3.3761188612856183	6.895095480835346	0.0	0.24294617861038947	1.394510515891231	0.4848922417394862
Late blastocyst #3 -Cell#3(RPKM)	blastocyst	4.054823804059818	1.6505798557652755	0.0	1.253905173074145	7.083764454552352	0.0	0.0	2.109728234284708	0.2303177550622101
Late blastocyst #3 -Cell#4(RPKM)	blastocyst	7.4391085612632875	5.536838080946459	3.328196488777665	3.3072163181912613	5.770050748907898	0.0	3.551368725853699	2.817024180329872	5.828104087152167
Late blastocyst #3 -Cell#5(RPKM)	blastocyst	7.643967217187886	6.08346926990358	2.531631189960869	3.71965111278069	6.821720152577522	0.0	3.872595870971453	2.062803900526813	6.669781044746227
Late blastocyst #3 -Cell#6(RPKM)	blastocyst	4.2675412806834965	0.7570605063035981	0.0	0.21026092548319608	7.245767044206518	0.0	0.11154137473290741	3.761711612763606	0.9206810801754479
Late blastocyst #3 -Cell#7(RPKM)	blastocyst	4.8321623219904835	0.3133498192003587	0.19556678354397528	0.0	7.187368384704886	0.0	0.0	3.775171822678949	0.408792898200839
Late blastocyst #3 -Cell#8(RPKM)	blastocyst	5.428709461730695	0.26466929814270806	0.22633844221072896	3.7819143200811256	6.97223223572466	0.0	0.0	3.0639515125311347	0.35206433138104914
P-value(epiblast/Primitive endoderm)	blastocyst	0.2978798974282269	0.15357908792830063	0.045928931888399804	0.0	0.2859305394129746	0.0	0.09440067542148431	0.1814878760453772	0.346422567474381
P-value(epiblast/Trophectoderm)	blastocyst	0.0	0.0	0.0	0.0	0.0	0.26620304077465673	0.0009995003330835331	0.14842000511827327	0.001998002662673056
P-value(epiblast/hESC passage#0)	blastocyst	0.30821972366932904	0.04114194333117518	0.002995508979798479	0.054488185284069734	0.0009995003330835331	0.0	0.012916225266546328	0.0246926125903715	0.04305948946044697
P-value[Trophectoderm/(epiblast+Primitive endoderm)]	blastocyst	0.001998002662673056	0.001998002662673056	0.005982071677547464	0.02566774674857779	0.0	0.1922718876471227	0.005982071677547464	0.014888612493750654	0.005982071677547464
