cluster_name	acc_2-cell_mean	acc_2-cell_max	acc_4-cell_mean	acc_4-cell_max	acc_8-cell_mean	acc_8-cell_max	acc_morula_mean	acc_morula_max	n_overlapping_peaks	meth_2_cell	meth_4_cell	meth_8_cell	meth_morula	meth_blastocyst	basin_residual_rank	observed_minus_strict_pred_delta_beta	latent_residual_delta_beta	module_id	curvature	is_inverted_u	is_u_shape
cluster_2365	-0.4412426055	-0.106934727	0.6075846085000001	0.769814155	0.064804778	0.165312822	0.886301299	1.136797144	2	0.2228811116774672	0.1096485119816553	0.3740033816558312	0.046875	0.03671679197994987	42	-0.2011247685869612	-0.04206595171579531	M07	0.316970173635781	False	False
cluster_2623									0	0.05	0.0	0.0	0.0	0.0	1	-0.0613144088378704	-0.1966477625952775	M05	0.0	False	False
cluster_2637	-0.7350225420000001	-0.7350225420000001	0.180317159	0.180317159	1.703629627	1.703629627	0.682382495	0.682382495	1	0.09953703703703703	0.04817010631644778	0.07381630714964049	0.0	0.06631016042780749	153	-0.07333312152799656	-0.0010649187275356589	M06	0.1401264675774478	False	True
cluster_2727	-0.02024406299999997	1.287658628	-0.21587409366666668	1.332052413	0.171149402	1.703629627	0.41450435379999995	1.690836355	15	0.0061111111111111106	0.008768768768768769	0.0011111111111111113	0.0	0.0	111	-0.01431468024100486	0.00904892991849292	M02	0.0011111111111111	False	False
cluster_2743	-0.09184726607142861	1.287658628	-0.20325648678571429	1.332052413	0.2201693547142857	1.703629627	0.5076093964285714	1.690836355	14	0.21904761904761907	0.04	0.05555555555555555	0.0	0.1	11	-0.12028835364704367	-0.11797099778706845	M07	0.1555555555555555	False	True
cluster_2776	-0.420125315	-0.420125315	1.3178863440000002	1.3178863440000002	1.77765258	1.77765258	-0.007005847	-0.007005847	1	0.06676220520909475	0.008583333333333333	0.0250542501400625	0.125	0.03783783783783784	68	0.0722998802700893	-0.02243036316972645	M14	-0.1871079120220997	True	False
cluster_2832	0.947504138	0.947504138	0.120156193	0.120156193	0.423245481	0.423245481	-1.6725532280000002	-1.6725532280000002	1	0.009388730426243644	0.016604818434715344	0.009098842928345492	0.0	0.011428571428571429	143	-0.02190333385526363	0.003766220183218466	M02	0.0205274143569168	False	True
cluster_2910	-0.11881702244444442	0.232856961	-0.08549578066666669	0.748684648	0.8070460469999998	1.520970642	0.128269105	0.631497482	9	0.057638888888888885	0.048771929824561404	0.10579812330119692	0.025	0.16878306878306878	152	-0.06235678080824963	0.0014337262853429446	M00	0.2245811920842656	False	True
cluster_3123	-0.23996143474999998	0.698823635	0.14621403954166662	1.4298268669999998	0.28078018416666667	1.789487743	0.46002145691666657	1.6203702169999998	24	0.5903742425773604	0.40457087974844186	0.6639058456800905	0.4739130434782609	0.3652951607734217	107	-0.08301671134012356	0.01009258102470434	M01	0.08137491949699027	False	False
cluster_3133	-0.23996143474999998	0.698823635	0.14621403954166662	1.4298268669999998	0.28078018416666667	1.789487743	0.46002145691666657	1.6203702169999998	24	0.02540485829959514	0.0189366515837104	0.0226437472965606	0.08333333333333333	0.05541125541125541	73	0.04201056394598427	-0.020431413895555767	M14	-0.08861166395885071	True	False
cluster_3227	-0.06028117742857143	1.149605651	0.13632705571428574	1.288928388	0.23018447757142857	1.43852831	0.06883034942857144	0.842057872	7	0.1075	0.0	0.13499118165784835	0.0	0.06666666666666668	79	-0.09747022173829803	0.01829822903116026	M00	0.2016578483245149	False	True
cluster_3275	0.08852986836842106	1.153682458	-0.06942569778947368	0.996652154	0.4177282630000001	2.058516456	0.10283270710526309	1.897721177	19	0.15670454545454546	0.0	0.06666666666666668	0.0	0.1	5	-0.09822141211861564	-0.1422064863349969	M05	0.1666666666666666	False	True
cluster_3303	0.0590854857368421	1.153682458	-0.23270519831578945	0.996652154	0.3159944112105264	2.058516456	0.2326938243157895	1.897721177	19	0.008536212110037614	0.012590233966141406	0.00576460822263501	0.026583710407239818	0.021428571428571432	116	0.004656218642168964	0.00859391110693345	M02	-0.025974241163273203	True	False
cluster_3336	0.062269247099999994	1.153682458	0.012456973699999985	1.613887759	0.28306892980000004	2.058516456	0.18977602995000004	1.897721177	20	0.019285714285714285	0.0075213675213675205	0.008333333333333333	0.0	0.02	147	-0.00955242262313599	0.002450568520396189	M02	0.0283333333333333	False	True
cluster_3348	0.07250288952380951	1.153682458	0.06314191257142857	1.613887759	0.243564746952381	2.058516456	0.1430032778095238	1.897721177	21	0.0	0.02666666666666666	0.02564102564102564	1.0	0.0	37	0.8828949967479023	0.04738931923287908	M02	-1.9743589743589745	True	False
