cluster_name	x_morula	x_blast_observed	x_blast_predicted	c_diag_blast	abs_c_diag_blast	module_id	basin_residual_rank	blast_residual_rank
cluster_1921	0.0	0.2	0.06883064650807093	0.1311693534919291	0.1311693534919291	M08	149	43.0
cluster_1922	0.5	0.03333333333333333	0.34940110081320347	-0.31606776747987014	0.31606776747987014	M04	129	20.0
cluster_1976	1.0	0.3333333333333333	0.629971555118336	-0.2966382217850027	0.2966382217850027	M01	119	22.0
cluster_2004	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M11	82	75.0
cluster_2126	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	72	75.0
cluster_2190	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M12	25	75.0
cluster_23	0.015625	0.009393939393939394	0.07759847320510632	-0.06820453381116692	0.06820453381116692	M06	103	90.0
cluster_2324	0.0	0.1120401337792642	0.06883064650807093	0.04320948727119327	0.04320948727119327	M14	71	111.0
cluster_2355	0.05625	0.015384615384615384	0.10039482261739835	-0.08501020723278296	0.08501020723278296	M11	131	56.0
cluster_2365	0.046875	0.03671679197994987	0.09513412659917711	-0.05841733461922724	0.05841733461922724	M07	42	96.0
cluster_242	0.375	0.36	0.2792584872369203	0.08074151276307967	0.08074151276307967	M01	21	58.0
cluster_2623	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M05	1	75.0
cluster_2637	0.0	0.06631016042780749	0.06883064650807093	-0.002520486080263437	0.002520486080263437	M06	153	153.0
cluster_2727	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	111	75.0
cluster_2743	0.0	0.1	0.06883064650807093	0.031169353491929078	0.031169353491929078	M07	11	127.5
cluster_2776	0.125	0.03783783783783784	0.13897326008435407	-0.10113542224651623	0.10113542224651623	M14	68	51.0
cluster_2832	0.0	0.011428571428571429	0.06883064650807093	-0.0574020750794995	0.0574020750794995	M02	143	97.0
cluster_2910	0.025	0.16878306878306878	0.08285916922332756	0.08592389955974122	0.08592389955974122	M00	152	55.0
cluster_293	0.0	0.1	0.06883064650807093	0.031169353491929078	0.031169353491929078	M00	102	127.5
cluster_3123	0.4739130434782609	0.3652951607734217	0.3347626423277183	0.030532518445703427	0.030532518445703427	M01	107	130.0
cluster_3133	0.08333333333333333	0.05541125541125541	0.11559238889225969	-0.060181133481004276	0.060181133481004276	M14	73	94.0
cluster_315	0.0	0.08	0.06883064650807093	0.011169353491929074	0.011169353491929074	M00	144	145.0
cluster_3227	0.0	0.06666666666666668	0.06883064650807093	-0.0021639798414042483	0.0021639798414042483	M00	79	154.0
cluster_3275	0.0	0.1	0.06883064650807093	0.031169353491929078	0.031169353491929078	M05	5	127.5
cluster_3303	0.026583710407239818	0.021428571428571432	0.08374785392022165	-0.06231928249165021	0.06231928249165021	M02	116	93.0
cluster_3336	0.0	0.02	0.06883064650807093	-0.048830646508070924	0.048830646508070924	M02	147	106.5
cluster_3348	1.0	0.0	0.629971555118336	-0.629971555118336	0.629971555118336	M02	37	2.5
cluster_3362	0.011363636363636364	0.015384615384615384	0.07520724774227848	-0.059822632357663094	0.059822632357663094	M02	124	95.0
cluster_3369	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	126	75.0
cluster_3416	0.3333333333333333	0.0	0.25587761604482595	-0.25587761604482595	0.25587761604482595	M02	133	24.0
cluster_3519	0.33035714285714285	0.4519896640826874	0.2542075538168192	0.19778211026586823	0.19778211026586823	M01	45	33.0
cluster_3660	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M04	55	75.0
cluster_3684	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	47	75.0
cluster_3762	0.7	0.061904761904761914	0.4616292825352565	-0.3997245206304946	0.3997245206304946	M07	58	8.0
cluster_3766	0.25	0.0	0.20911587366063722	-0.20911587366063722	0.20911587366063722	M14	86	31.0
