sample_id	stage	genome_met_reads	genome_total_reads	genome_cpg_rows	genome_beta	sample_mean_cpg_entropy	sample_global_beta_entropy
GSM2986378	8-cell	1379798.0	3764330.0	2187737	0.366545441021377	0.0074169300869732	0.6570914747410215
GSM2986379	8-cell	1231924.0	3813459.0	2308759	0.3230463471614615	0.00653236421281	0.6291444196858537
GSM2986380	8-cell	145775.0	340403.0	57654	0.4282424067942997	0.0080939129573566	0.6828132299982892
GSM2986381	8-cell	885803.0	1540875.0	1075373	0.5748701224953354	0.0029716104772403	0.6818938337041747
GSM2986382	8-cell	9122652.0	27240659.0	10460893	0.3348910171372873	0.0319430821268804	0.6375884173164578
GSM2986383	8-cell	9475477.0	28584529.0	11382172	0.3314897019992878	0.0341560169644744	0.6352286056574196
GSM2986384	8-cell	1016150.0	3236688.0	104042	0.3139474672875482	0.0084923863842973	0.6222227688729833
GSM2986385	8-cell	1182018.0	3393114.0	398904	0.3483578801065923	0.0041856439698462	0.6464241716409833
GSM2986386	8-cell	580041.0	2896786.0	162472	0.2002360547171934	0.0058014475928499	0.5007294907821794
GSM2986387	8-cell	234017.0	2387163.0	92001	0.0980314289388701	0.00904155113662	0.3207359245404103
GSM2986388	8-cell	264420.0	419907.0	215161	0.6297108645485786	0.0029615606559695	0.6591093841303252
GSM2986389	8-cell	973279.0	2612206.0	650887	0.3725889152693164	0.0035248589700845	0.6603191818298688
GSM2986395	ICM	6773166.0	37334652.0	19425442	0.1814176813540407	0.0644320512118559	0.4735363899297659
GSM2986396	ICM	5461619.0	28357495.0	11495468	0.1925987820856532	0.0275239629253556	0.4899693594031254
GSM2986397	ICM	5012456.0	28079020.0	11284018	0.1785124979433043	0.0251630765796114	0.4691304051462787
GSM2986398	ICM	7928721.0	41605500.0	12933011	0.1905690593791686	0.0252356340694358	0.4870470552800793
GSM2986399	ICM	743694.0	3509201.0	1077070	0.211926874522149	0.0050487835786589	0.5164984706338349
GSM2986400	ICM	9873653.0	47906856.0	16982268	0.2061010432410759	0.0412101326755059	0.5087448170525296
GSM2986401	TE	5946167.0	34098677.0	18013629	0.1743811644070531	0.0572873832478741	0.4627655474565652
GSM2986402	TE	327964.0	1450741.0	566744	0.2260665411675826	0.0040184521981821	0.5344796409638404
GSM2986403	TE	3585375.0	18209326.0	7845039	0.1968977325135482	0.0171323704553339	0.4960715748008463
GSM2986404	TE	11456848.0	56221512.0	17259196	0.2037805030928375	0.0392323899284137	0.5055988594457409
GSM2986405	TE	7292188.0	47272836.0	16107701	0.154257468284746	0.0338259070863633	0.430023560104923
GSM2986406	TE	389657.0	1231832.0	429089	0.3163231674449113	0.0035479058292251	0.6240668372634086
GSM2986407	ICM	18144159.0	70913016.0	25839932	0.2558650022726434	0.1305547923731901	0.5686872512718577
GSM2986408	TE	13104555.0	46177771.0	22111483	0.2837849189385949	0.1075193791429862	0.5964925953027509
GSM2986409	blastocyst	7521821.0	36146494.0	18068858	0.2080926852822849	0.0672672028182835	0.5114186323994747
