particle_id	stage	rna_stage	dna_sample_id	rna_sample_name	A	Hm	P	Hr	A_raw	Hm_raw	P_raw	Hr_raw	stage_order
MII_oocyte:0094	MII oocyte	oocyte	GSM2986322	Oocyte #2(RPKM)	0.2581042294200673	0.0451954409868379	0.3301224893014873	0.7095020837447127	0.1003168747221907	0.0057398903002698	0.363529979196631	7.476926477091045	0
MII_oocyte:0095	MII oocyte	oocyte	GSM2986322	Oocyte #3(RPKM)	0.2581042294200673	0.0451954409868379	0.3606560991269658	0.7099377008908028	0.1003168747221907	0.0057398903002698	0.3806348162504794	7.479714966370953	0
MII_oocyte:0096	MII oocyte	oocyte	GSM2986323	Oocyte #1(RPKM)	0.4964558455967619	0.0580441062593371	0.3163801439601027	0.694639604700115	0.1929565392234424	0.0066310642910271	0.3558315583696919	7.381788202896162	0
MII_oocyte:0097	MII oocyte	oocyte	GSM2986323	Oocyte #2(RPKM)	0.4964558455967619	0.0580441062593371	0.3301224893014873	0.7095020837447127	0.1929565392234424	0.0066310642910271	0.363529979196631	7.476926477091045	0
MII_oocyte:0098	MII oocyte	oocyte	GSM2986323	Oocyte #3(RPKM)	0.4964558455967619	0.0580441062593371	0.3606560991269658	0.7099377008908028	0.1929565392234424	0.0066310642910271	0.3806348162504794	7.479714966370953	0
MII_oocyte:0099	MII oocyte	oocyte	GSM2986324	Oocyte #1(RPKM)	0.3809860207263554	0.0645895188765461	0.3163801439601027	0.694639604700115	0.1480771043465134	0.0070850493049971	0.3558315583696919	7.381788202896162	0
MII_oocyte:0100	MII oocyte	oocyte	GSM2986324	Oocyte #2(RPKM)	0.3809860207263554	0.0645895188765461	0.3301224893014873	0.7095020837447127	0.1480771043465134	0.0070850493049971	0.363529979196631	7.476926477091045	0
MII_oocyte:0101	MII oocyte	oocyte	GSM2986324	Oocyte #3(RPKM)	0.3809860207263554	0.0645895188765461	0.3606560991269658	0.7099377008908028	0.1480771043465134	0.0070850493049971	0.3806348162504794	7.479714966370953	0
MII_oocyte:0102	MII oocyte	oocyte	GSM2986325	Oocyte #1(RPKM)	0.423941510746249	0.0658183954940729	0.3163801439601027	0.694639604700115	0.1647725320837426	0.0071702832850381	0.3558315583696919	7.381788202896162	0
MII_oocyte:0103	MII oocyte	oocyte	GSM2986325	Oocyte #2(RPKM)	0.423941510746249	0.0658183954940729	0.3301224893014873	0.7095020837447127	0.1647725320837426	0.0071702832850381	0.363529979196631	7.476926477091045	0
MII_oocyte:0104	MII oocyte	oocyte	GSM2986325	Oocyte #3(RPKM)	0.423941510746249	0.0658183954940729	0.3606560991269658	0.7099377008908028	0.1647725320837426	0.0071702832850381	0.3806348162504794	7.479714966370953	0
MII_oocyte:0105	MII oocyte	oocyte	GSM2986326	Oocyte #1(RPKM)	0.2573275952911509	0.0481516653658647	0.3163801439601027	0.694639604700115	0.1000150218281465	0.005944931852957	0.3558315583696919	7.381788202896162	0
MII_oocyte:0106	MII oocyte	oocyte	GSM2986326	Oocyte #2(RPKM)	0.2573275952911509	0.0481516653658647	0.3301224893014873	0.7095020837447127	0.1000150218281465	0.005944931852957	0.363529979196631	7.476926477091045	0
MII_oocyte:0107	MII oocyte	oocyte	GSM2986326	Oocyte #3(RPKM)	0.2573275952911509	0.0481516653658647	0.3606560991269658	0.7099377008908028	0.1000150218281465	0.005944931852957	0.3806348162504794	7.479714966370953	0
zygote_PN:0000	zygote/PN	zygote	GSM2481554	Zygote #1(RPKM)	0.2163793182829078	0.0160253202196412	0.4020370225729052	0.6956166575150825	0.0840997337139018	0.0037166721384102	0.4038162860054882	7.388042551066096	1
