region_type	control_set	stage	n_samples	n_regions_valid	mean_region_total_reads	mean_region_cpg_rows	mean_width	mean_n_cpg_target	s_epi	s_matched_weighted
matched_non_age_window	matched_non_age_0068	zygote/PN	30	40	229.125	80.5	462.875	3.4	0.44520870206670826	0.4375430680821129
matched_non_age_window	matched_non_age_0068	2-cell	20	68	181.48529411764707	70.44117647058823	409.04411764705884	3.3088235294117645	0.5462927119314167	0.5690609773476691
matched_non_age_window	matched_non_age_0068	4-cell	25	57	204.7719298245614	75.82456140350877	445.9122807017544	3.4210526315789473	0.4994799112378564	0.5248755734398104
matched_non_age_window	matched_non_age_0068	8-cell	48	37	370.0810810810811	148.43243243243242	454.7567567567568	3.5135135135135136	0.5546334194214442	0.54750570310509
matched_non_age_window	matched_non_age_0068	morula	8	15	32.266666666666666	22.666666666666668	534.9333333333333	3.933333333333333	0.4509991351548575	0.45002912224092934
matched_non_age_window	matched_non_age_0068	blastocyst	5	80	48.2375	23.6	393.9125	3.2625	0.40687130208405353	0.41674448974390976
matched_non_age_window	matched_non_age_0068	ICM	19	66	185.3030303030303	74.83333333333333	411.1515151515151	3.272727272727273	0.5299122688746415	0.5321422320956657
matched_non_age_window	matched_non_age_0068	TE	13	61	116.90163934426229	46.90163934426229	428.1639344262295	3.2459016393442623	0.4699909714452021	0.4863232187692734
matched_non_age_window	matched_non_age_0069	MII oocyte	36	35	188.14285714285714	77.45714285714286	427.0857142857143	3.2857142857142856	0.43226943970655324	0.43016225629585236
matched_non_age_window	matched_non_age_0069	zygote/PN	30	31	165.3548387096774	64.19354838709677	462.64516129032256	3.3225806451612905	0.4700195939799363	0.4751791050952685
matched_non_age_window	matched_non_age_0069	2-cell	20	64	135.265625	57.96875	429.203125	3.3125	0.5304290587071157	0.5414173634434231
matched_non_age_window	matched_non_age_0069	4-cell	25	43	183.95348837209303	74.0	435.93023255813955	3.4651162790697674	0.48066376043633074	0.5134383932420992
matched_non_age_window	matched_non_age_0069	8-cell	48	32	315.59375	118.90625	449.71875	3.3125	0.48780802090040487	0.46759529846931497
matched_non_age_window	matched_non_age_0069	morula	8	9	32.0	24.333333333333332	399.55555555555554	3.111111111111111	0.180176615776626	0.1612127230922637
matched_non_age_window	matched_non_age_0069	blastocyst	5	65	38.184615384615384	21.46153846153846	397.9076923076923	3.4153846153846152	0.3000654219969279	0.29750060248699184
matched_non_age_window	matched_non_age_0069	ICM	19	62	122.75806451612904	59.17741935483871	420.0483870967742	3.2903225806451615	0.4680112174266214	0.48398014407235274
matched_non_age_window	matched_non_age_0069	TE	13	64	64.28125	31.296875	412.921875	3.359375	0.44301487150869095	0.46865040969348354
matched_non_age_window	matched_non_age_0070	MII oocyte	36	37	154.27027027027026	76.48648648648648	447.5945945945946	2.891891891891892	0.4306449230736261	0.43009260929079896
matched_non_age_window	matched_non_age_0070	zygote/PN	30	36	134.02777777777777	59.888888888888886	472.97222222222223	3.0277777777777777	0.5000284046754676	0.4702144292590938
matched_non_age_window	matched_non_age_0070	2-cell	20	68	123.94117647058823	55.794117647058826	401.5882352941176	2.926470588235294	0.5092283826004262	0.5137101258782721
matched_non_age_window	matched_non_age_0070	4-cell	25	53	141.0	65.52830188679245	448.0377358490566	3.056603773584906	0.4855378222233312	0.4753701650488752
matched_non_age_window	matched_non_age_0070	8-cell	48	39	216.02564102564102	103.94871794871794	474.2307692307692	2.923076923076923	0.5063136549661329	0.4778747862887436
matched_non_age_window	matched_non_age_0070	morula	8	12	24.0	17.333333333333332	529.9166666666666	3.1666666666666665	0.4222628084614599	0.3741365896962223
matched_non_age_window	matched_non_age_0070	blastocyst	5	77	33.18181818181818	19.38961038961039	381.3246753246753	2.857142857142857	0.3434163886855782	0.3389664531095535
matched_non_age_window	matched_non_age_0070	ICM	19	73	104.56164383561644	50.917808219178085	395.2191780821918	2.9315068493150687	0.47845226792858375	0.49655089030295274
matched_non_age_window	matched_non_age_0070	TE	13	67	69.29850746268657	34.92537313432836	413.76119402985074	2.985074626865672	0.47567088986042994	0.4839643481271397
matched_non_age_window	matched_non_age_0071	MII oocyte	36	39	6600.25641025641	196.12820512820514	460.71794871794873	3.1538461538461537	0.4996149061066177	0.4987064361607608
matched_non_age_window	matched_non_age_0071	zygote/PN	30	38	6491.9473684210525	172.28947368421052	415.63157894736844	3.0789473684210527	0.505597882163778	0.5064187253631942
matched_non_age_window	matched_non_age_0071	2-cell	20	69	2590.1304347826085	97.20289855072464	389.9855072463768	3.2318840579710146	0.5016899820791177	0.5030906180469963
matched_non_age_window	matched_non_age_0071	4-cell	25	56	4252.142857142857	123.48214285714286	397.1607142857143	3.2857142857142856	0.4408040423529487	0.4617489857449301
matched_non_age_window	matched_non_age_0071	8-cell	48	41	16523.0	258.780487804878	434.2439024390244	3.1951219512195124	0.4780221474412619	0.4942406926586116
matched_non_age_window	matched_non_age_0071	morula	8	17	2561.294117647059	77.76470588235294	457.88235294117646	2.9411764705882355	0.3790806668654496	0.38632392190243664
matched_non_age_window	matched_non_age_0071	blastocyst	5	83	674.5421686746988	29.542168674698797	356.56626506024094	3.1686746987951806	0.3731038852608676	0.3832956919274437
