gene	mural_dex_minus_control_logcpm	mural_abs_effect	mural_p	mural_ctrl_n	mural_dex_n	mural_mean_logcpm	polar_dex_minus_control_logcpm	polar_abs_effect	polar_p	polar_ctrl_n	polar_dex_n	polar_mean_logcpm	max_abs_effect	mean_abs_effect	min_p	mean_logcpm	gene_key	n_human_dmr	age_weight_5yr	contribution_8cell_to_morula	weight_norm_matched	is_csb
GPANK1	0.3591364355995905	0.3591364355995905	0.27677628547483746	93	224	4.803679144539114	0.18404356574302394	0.18404356574302394	0.6039682054007636	62	90	6.047496034863971	0.3591364355995905	0.3007721456474017	0.27677628547483746	5.425587589701543	GPANK1	1.0	-0.037492605	0.0177761625073823	-0.0398069876824322	True
GREM2	-1.3403955723575973	1.3403955723575973	0.00014305975740713353	93	224	2.119627358120112	-0.40342481945782716	0.40342481945782716	0.4409932566461754	62	90	5.854662611561367	1.3403955723575973	1.0280719880576739	0.00014305975740713353	3.9871449848407394	GREM2	1.0	0.040863042	0.0132832737883698	0.0433854785379866	True
GSG1L	-0.1310945117905476	0.1310945117905476	0.29098186610585797	93	224	0.18038938803368423	-0.0406899575313449	0.0406899575313449	0.7195076986018991	62	90	0.10983404730041525	0.1310945117905476	0.10095966037081337	0.29098186610585797	0.14511171766704975	GSG1L	1.0	0.041373344	0.0128042689480954	0.0439272809928526	True
HMGCS2	-0.20797517484310205	0.20797517484310205	0.06546409302082754	93	224	0.14622615976389036	-0.09409343982122312	0.09409343982122312	0.5615114102312022	62	90	0.22001015075018476	0.20797517484310205	0.17001459650247575	0.06546409302082754	0.18311815525703756	HMGCS2	1.0	0.028296419	0.0038381223901734	0.0300431299076162	True
HOXD10	-0.020298807884179024	0.020298807884179024	0.6792175674456323	93	224	0.068611666877811	0.0	0.0		62	90	0.0	0.020298807884179024	0.013532538589452683	0.6792175674456323	0.0343058334389055	HOXD10	1.0	-0.053087412	0.0064595482011537	-0.0563644472176901	True
IFI30	-0.5305828150776333	0.5305828150776333	0.14544493572794595	93	224	3.699753393292504	1.5104996585607995	1.5104996585607995	0.001216717843082393	62	90	3.596869800315163	1.5104996585607995	1.1838607107330774	0.001216717843082393	3.6483115968038335	IFI30	1.0	-0.027666536	0.0050299274920768	-0.02937436483188	True
IGF1	-0.15424478571086908	0.15424478571086908	0.31784320930230187	93	224	0.4771402986329113	0.3128867500133564	0.3128867500133564	0.16342935005201825	62	90	0.6547026001971108	0.3128867500133564	0.26000609524586066	0.16342935005201825	0.5659214494150111	IGF1	1.0	0.043206154	0.0072385709636829	0.045873228602901	True
IL1R2	-0.09836483405413324	0.09836483405413324	0.09733393110729106	93	224	0.060421161219506046	-0.005696361489083535	0.005696361489083535	0.9710015909168039	62	90	0.26843657165936335	0.09836483405413324	0.06747534319911667	0.09733393110729106	0.1644288664394347	IL1R2	1.0	0.0136105539999999	0.0	0.0144507204935234	True
INPP5J	-0.23203407468015247	0.23203407468015247	0.11691093146424851	93	224	0.29943718152390525	-0.033367728423311205	0.033367728423311205	0.8328864106342678	62	90	0.27364073042506737	0.23203407468015247	0.16581195926120537	0.11691093146424851	0.2865389559744863	INPP5J	1.0	-0.0275584779999999	0.0024461129096726	-0.0292596365147895	True
IRF9	0.13501030735438158	0.13501030735438158	0.548084337645982	93	224	1.2719048108370115	0.0646337254503564	0.0646337254503564	0.8357936341087017	62	90	1.2361633234223002	0.13501030735438158	0.11155144671970652	0.548084337645982	1.254034067129656	IRF9	1.0	-0.041337281	0.0144550937896255	-0.0438889918583208	True
JAKMIP2	-0.1570262829938817	0.1570262829938817	0.1514746755495396	93	224	0.1614148730511335	-0.0755326114212202	0.0755326114212202	0.5910720241547357	62	90	0.21662862610487266	0.1570262829938817	0.12986172580299452	0.1514746755495396	0.18902174957800308	JAKMIP2	1.0	0.060793808	0.023591666300691	0.0645465516793018	True
KCNH4	-0.10159669033895691	0.10159669033895691	0.41651094606882655	93	224	0.24607316036259985	-0.029395063079059938	0.029395063079059938	0.7408107703374576	62	90	0.13527206063820318	0.10159669033895691	0.07752948125232458	0.41651094606882655	0.19067261050040152	KCNH4	1.0	-0.012269211	0.0	-0.0130265776717878	True
KCNJ15	-0.23960468189515957	0.23960468189515957	0.04198637727591972	93	224	0.17234802677041383	0.1575358145562995	0.1575358145562995	0.09424931379656265	62	90	0.1249147530466776	0.23960468189515957	0.21224839278220622	0.04198637727591972	0.1486313899085457	KCNJ15	1.0	0.027287077	0.0051902699686871	0.0289714821903834	True
KRT19	-0.020206790939512942	0.020206790939512942	0.8942399403892262	93	224	9.932273016910674	-0.3694378706477135	0.3694378706477135	0.11481717443775215	62	90	9.414379079197431	0.3694378706477135	0.25302751074498	0.11481717443775215	9.673326048054053	KRT19	1.0	-0.039116552	0.002175328290909	-0.0415311793790594	True
KRT25	-0.07296455497891205	0.07296455497891205	0.34559969204543706	93	224	0.07154789225380044	-0.060607294563552516	0.060607294563552516	0.48441508757044216	62	90	0.04799136062894581	0.07296455497891205	0.06884546817379221	0.34559969204543706	0.059769626441373125	KRT25	1.0	0.023898612	0.0081859125227905	0.0253738504836147	True
LRFN1	-0.2534657903869203	0.2534657903869203	0.25853762144352027	93	224	0.9488986311531038	0.6962264605181288	0.6962264605181288	0.017489644908004243	62	90	1.4364084663925685	0.6962264605181288	0.5486395704743926	0.017489644908004243	1.192653548772836	LRFN1	1.0	-0.028841341	0.0	-0.0306216894220027	True
LRFN2	-0.054418077886024104	0.054418077886024104	0.3814065694697525	93	224	0.0590905538016294	-0.0772534716521248	0.0772534716521248	0.3919871197301913	62	90	0.04312946214037787	0.0772534716521248	0.06964167373009124	0.3814065694697525	0.05111000797100364	LRFN2	1.0	-0.039827347	0.0105159026316612	-0.0422858510752441	True
MAN2A2	0.39672410451730666	0.39672410451730666	0.21210096752459306	93	224	2.362163729498952	0.021282933318005348	0.021282933318005348	0.9606087914197623	62	90	2.8691478563883988	0.39672410451730666	0.2715770474508729	0.21210096752459306	2.6156557929436755	MAN2A2	1.0	-0.016253451	0.0003680942710354	-0.0172567610000429	True
MEIS2	-0.16565857058229005	0.16565857058229005	0.27030332649545014	93	224	0.4220411852774691	0.4878648927473289	0.4878648927473289	0.0064823822522172125	62	90	0.45537004157258376	0.4878648927473289	0.38046278535898265	0.0064823822522172125	0.43870561342502645	MEIS2	1.0	0.033252448	0.0	0.035305089842296	True
MICU2	-0.20837571141261213	0.20837571141261213	0.4957852751428814	93	224	3.5126958062294027	0.6466376111731491	0.6466376111731491	0.07696397997750255	62	90	3.856675216651024	0.6466376111731491	0.5005503112529701	0.07696397997750255	3.6846855114402133	MICU2	1.0	0.054376277	0.0034118613107347	0.0577328726226284	True
MMEL1	-0.14225903222796393	0.14225903222796393	0.20098010295594057	93	224	0.16678044027061575	-0.0581235917818857	0.0581235917818857	0.6634860965634299	62	90	0.1556222230348239	0.14225903222796393	0.11421388541260452	0.20098010295594057	0.16120133165271983	MMEL1	1.0	-0.0315184639999999	0.0	-0.0334640686667993	True
