geo_accession	sample	population	individual	cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	meth	total	beta
GSM2948422	SP1_RRBS	SP	1	cluster_883	141	0.0040790838873312	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_7000	142	0.0038976825557504	M02	5.0	16.0	0.3125
GSM2948422	SP1_RRBS	SP	1	cluster_2832	143	0.0037662201832184	M02	29.0	263.0	0.11026615969581749
GSM2948422	SP1_RRBS	SP	1	cluster_315	144	-0.0035426819026432	M00	1.0	1.0	1.0
GSM2948422	SP1_RRBS	SP	1	cluster_386	145	-0.0025304369417066	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_7612	146	-0.0024722167083421	M04	14.0	41.0	0.34146341463414637
GSM2948422	SP1_RRBS	SP	1	cluster_3336	147	0.0024505685203961	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5307	148	-0.002172344139453	M02	45.0	56.0	0.8035714285714286
GSM2948422	SP1_RRBS	SP	1	cluster_1921	149	-0.0020292941244891	M08	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_67	150	0.0019896580789447	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_652	151	0.0014656449645791	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_2910	152	0.0014337262853429	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_2637	153	-0.0010649187275356	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6410	154	0.0005424621144622	M06	34.0	66.0	0.5151515151515151
GSM2948422	SP1_RRBS	SP	1	cluster_6163	155	-0.0001808382892402	M08	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5580	156	-1.2258168814039167e-05	M02	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_2623	1	-0.1966477625952775	M05	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6262	2	-0.1912454605053165	M10	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6892	3	-0.1797887109823562	M05	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_5678	4	-0.1645691559665318	M10	0.0	8.0	0.0
GSM2948423	CTB1_RRBS	CTB	1	cluster_3275	5	-0.1422064863349969	M05	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_4373	6	-0.1361948309072878	M01	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_4141	7	-0.1345314971598012	M05	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_7042	8	-0.1297927692615848	M05	0.0	2.0	0.0
GSM2948423	CTB1_RRBS	CTB	1	cluster_4605	9	-0.1245572055941755	M01	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6498	10	0.1233684733597841	M12	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_2743	11	-0.1179709977870684	M07	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6960	12	-0.1150872869677093	M01	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_1742	13	0.1109335240179164	M08	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6655	14	-0.1006123569637234	M01	162.0	177.0	0.9152542372881356
GSM2948423	CTB1_RRBS	CTB	1	cluster_4404	15	-0.0972246935380607	M01	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_543	16	0.0903190284088766	M08	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_4026	17	0.0834739790170535	M03	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_4904	18	0.079519979974636	M12	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6651	19	-0.0778453896585507	M01	2.0	2.0	1.0
GSM2948423	CTB1_RRBS	CTB	1	cluster_5923	20	0.0774541554875099	M09	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_242	21	0.0773625907521746	M01	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6087	22	-0.0747346449206742	M10	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6495	23	0.074610828498747	M09	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_7072	24	-0.0731353853165772	M01	8.0	17.0	0.47058823529411764
GSM2948423	CTB1_RRBS	CTB	1	cluster_2190	25	0.0710896289019975	M12	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_587	26	-0.0693649918891212	M05	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_125	27	-0.0639287189875389	M07	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_5002	28	-0.0620667827294791	M01	231.0	320.0	0.721875
GSM2948423	CTB1_RRBS	CTB	1	cluster_643	29	0.0618002006883134	M13	17.0	18.0	0.9444444444444444
GSM2948423	CTB1_RRBS	CTB	1	cluster_832	30	0.0616692971968747	M01	37.0	73.0	0.5068493150684932
GSM2948423	CTB1_RRBS	CTB	1	cluster_5679	31	-0.0613185877440524	M01	4.0	5.0	0.8
GSM2948423	CTB1_RRBS	CTB	1	cluster_1387	32	0.0591703250537913	M12	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6114	33	-0.0590051237513787	M01	4.0	5.0	0.8
GSM2948423	CTB1_RRBS	CTB	1	cluster_1764	34	-0.0569407704222629	M15	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_5661	35	0.0516704121145394	M01	1.0	1.0	1.0
GSM2948423	CTB1_RRBS	CTB	1	cluster_6975	36	-0.0499656462751898	M03	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_3348	37	0.047389319232879	M02	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_5977	38	0.0462132483412721	M06	1.0	3.0	0.3333333333333333
GSM2948423	CTB1_RRBS	CTB	1	cluster_4909	39	0.0455104341629634	M15	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_1718	40	0.0448208684134199	M00	2.0	3.0	0.6666666666666666
GSM2948423	CTB1_RRBS	CTB	1	cluster_6532	41	0.0433800224032729	M09	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_2365	42	-0.0420659517157953	M07	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_1758	43	0.0414697851795486	M01	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6604	44	0.0406870160028717	M03	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_3519	45	-0.0396155009392248	M01	53.0	109.0	0.48623853211009177
GSM2948423	CTB1_RRBS	CTB	1	cluster_916	46	0.0347796982761695	M02	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_3684	47	0.0330316810641798	M02	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_1556	48	-0.0326013937956062	M00	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6143	49	0.0324829247082393	M08	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_5240	50	0.0306570107148617	M06	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_4364	51	0.0287617835195389	M04	2.0	3.0	0.6666666666666666
GSM2948423	CTB1_RRBS	CTB	1	cluster_950	52	-0.0286656787681627	M03	65.0	86.0	0.7558139534883721
GSM2948423	CTB1_RRBS	CTB	1	cluster_1523	53	0.0286577847525831	M06	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_4907	54	0.0281918746673707	M08	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_3660	55	-0.0267335027684852	M04	0.0	1.0	0.0
GSM2948423	CTB1_RRBS	CTB	1	cluster_5064	56	-0.0265140525538444	M07	6.0	40.0	0.15
GSM2948423	CTB1_RRBS	CTB	1	cluster_4532	57	0.0255573795701712	M13	0.0	7.0	0.0
GSM2948423	CTB1_RRBS	CTB	1	cluster_3762	58	0.0254792161705422	M07	2.0	49.0	0.04081632653061224
GSM2948423	CTB1_RRBS	CTB	1	cluster_6518	59	0.0249569027227029	M04	37.0	84.0	0.44047619047619047
GSM2948423	CTB1_RRBS	CTB	1	cluster_1715	60	-0.0242076987155792	M06	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_7425	61	0.0238933079941673	M01	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_1333	62	-0.023856994352479	M04	0.0	1.0	0.0
GSM2948423	CTB1_RRBS	CTB	1	cluster_5928	63	0.0236668655051044	M04	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_1688	64	0.0232575833755816	M02	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_5215	65	0.0225779114774131	M13	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_1806	66	0.0225683910443349	M06	0.0	0.0	
